race_id,track_name_ri,pred_finish_ri,car_number_ri,driver,formatted_driver,driver_id
5546,Daytona International Speedway,1,8,Kyle Busch,Kyle Busch,454
5546,Daytona International Speedway,2,20,Christopher Bell,Christopher Bell,4153
5546,Daytona International Speedway,3,24,William Byron,William Byron,4184
5546,Daytona International Speedway,4,17,Chris Buescher,Chris Buescher,3989
5546,Daytona International Speedway,5,48,Alex Bowman,Alex Bowman,4045
5546,Daytona International Speedway,6,23,Bubba Wallace,Bubba Wallace,4025
5546,Daytona International Speedway,7,9,Chase Elliott,Chase Elliott,4062
5546,Daytona International Speedway,8,12,Ryan Blaney,Ryan Blaney,4023
5546,Daytona International Speedway,9,22,Joey Logano,Joey Logano,3859
5546,Daytona International Speedway,10,2,Austin Cindric,Austin Cindric,4180
5546,Daytona International Speedway,11,5,Kyle Larson,Kyle Larson,4030
5546,Daytona International Speedway,12,1,Ross Chastain,Ross Chastain,4001
5546,Daytona International Speedway,13,6,Brad Keselowski,Brad Keselowski,1816
5546,Daytona International Speedway,14,11,Denny Hamlin,Denny Hamlin,1361
5546,Daytona International Speedway,15,56,Martin Truex Jr.,Martin Truex Jr,3368
5546,Daytona International Speedway,16,99,Daniel Suárez,Daniel Suárez,4113
5546,Daytona International Speedway,17,16,AJ Allmendinger,AJ Allmendinger,3774
5546,Daytona International Speedway,18,19,Chase Briscoe,Chase Briscoe,4228
5546,Daytona International Speedway,19,1,Corey LaJoie,Corey LaJoie,4096
5546,Daytona International Speedway,20,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5546,Daytona International Speedway,21,45,Tyler Reddick,Tyler Reddick,4065
5546,Daytona International Speedway,22,51,Cody Ware,Cody Ware,4125
5546,Daytona International Speedway,23,38,Zane Smith,Zane Smith,4272
5546,Daytona International Speedway,24,43,Erik Jones,Erik Jones,4059
5546,Daytona International Speedway,25,4,Noah Gragson,Noah Gragson,4224
5546,Daytona International Speedway,26,54,Ty Gibbs,Ty Gibbs,4368
5546,Daytona International Speedway,27,71,Michael McDowell,Michael McDowell,3832
5546,Daytona International Speedway,28,34,Todd Gilliland,Todd Gilliland,4231
5546,Daytona International Speedway,29,42,John H. Nemechek,John H. Nemechek,4092
5546,Daytona International Speedway,30,7,Justin Haley,Justin Haley,4172
5546,Daytona International Speedway,31,77,Carson Hocevar,Carson Hocevar,4326
5546,Daytona International Speedway,32,21,Josh Berry,Josh Berry,4123
5546,Daytona International Speedway,33,60,Ryan Preece,Ryan Preece,4070
5546,Daytona International Speedway,34,3,Austin Dillon,Austin Dillon,3873
5546,Daytona International Speedway,35,10,Ty Dillon,Ty Dillon,4013
5546,Daytona International Speedway,36,62,Anthony Alfredo,Anthony Alfredo,4301
5546,Daytona International Speedway,37,88,Shane van Gisbergen,Shane van Gisbergen,4469
5546,Daytona International Speedway,38,78,BJ McLeod,BJ McLeod,3973
5546,Daytona International Speedway,39,66,Chandler Smith,Chandler Smith,4312
5546,Daytona International Speedway,40,44,J.J. Yeley,JJ Yeley,3669
5546,Daytona International Speedway,41,41,Cole Custer,Cole Custer,4104
5546,Daytona International Speedway,42,84,Jimmie Johnson,Jimmie Johnson,1717
5546,Daytona International Speedway,43,35,Riley Herbst,Riley Herbst,4269
5546,Daytona International Speedway,44,40,Justin Allgaier,Justin Allgaier,34
5546,Daytona International Speedway,45,91,Hélio Castroneves,Hélio Castroneves,4505
5547,Atlanta Motor Speedway,1,12,Ryan Blaney,Ryan Blaney,4023
5547,Atlanta Motor Speedway,2,24,William Byron,William Byron,4184
5547,Atlanta Motor Speedway,3,9,Chase Elliott,Chase Elliott,4062
5547,Atlanta Motor Speedway,4,2,Austin Cindric,Austin Cindric,4180
5547,Atlanta Motor Speedway,5,8,Kyle Busch,Kyle Busch,454
5547,Atlanta Motor Speedway,6,20,Christopher Bell,Christopher Bell,4153
5547,Atlanta Motor Speedway,7,22,Joey Logano,Joey Logano,3859
5547,Atlanta Motor Speedway,8,99,Daniel Suárez,Daniel Suárez,4113
5547,Atlanta Motor Speedway,9,48,Alex Bowman,Alex Bowman,4045
5547,Atlanta Motor Speedway,10,23,Bubba Wallace,Bubba Wallace,4025
5547,Atlanta Motor Speedway,11,17,Chris Buescher,Chris Buescher,3989
5547,Atlanta Motor Speedway,12,1,Ross Chastain,Ross Chastain,4001
5547,Atlanta Motor Speedway,13,6,Brad Keselowski,Brad Keselowski,1816
5547,Atlanta Motor Speedway,14,71,Michael McDowell,Michael McDowell,3832
5547,Atlanta Motor Speedway,15,5,Kyle Larson,Kyle Larson,4030
5547,Atlanta Motor Speedway,16,11,Denny Hamlin,Denny Hamlin,1361
5547,Atlanta Motor Speedway,17,16,AJ Allmendinger,AJ Allmendinger,3774
5547,Atlanta Motor Speedway,18,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5547,Atlanta Motor Speedway,19,45,Tyler Reddick,Tyler Reddick,4065
5547,Atlanta Motor Speedway,20,43,Erik Jones,Erik Jones,4059
5547,Atlanta Motor Speedway,21,1,Corey LaJoie,Corey LaJoie,4096
5547,Atlanta Motor Speedway,22,7,Justin Haley,Justin Haley,4172
5547,Atlanta Motor Speedway,23,54,Ty Gibbs,Ty Gibbs,4368
5547,Atlanta Motor Speedway,24,34,Todd Gilliland,Todd Gilliland,4231
5547,Atlanta Motor Speedway,25,19,Chase Briscoe,Chase Briscoe,4228
5547,Atlanta Motor Speedway,26,60,Ryan Preece,Ryan Preece,4070
5547,Atlanta Motor Speedway,27,77,Carson Hocevar,Carson Hocevar,4326
5547,Atlanta Motor Speedway,28,10,Ty Dillon,Ty Dillon,4013
5547,Atlanta Motor Speedway,29,4,Noah Gragson,Noah Gragson,4224
5547,Atlanta Motor Speedway,30,3,Austin Dillon,Austin Dillon,3873
5547,Atlanta Motor Speedway,31,41,Cole Custer,Cole Custer,4104
5547,Atlanta Motor Speedway,32,21,Josh Berry,Josh Berry,4123
5547,Atlanta Motor Speedway,33,42,John Hunter Nemechek,John H. Nemechek,4092
5547,Atlanta Motor Speedway,34,38,Zane Smith,Zane Smith,4272
5547,Atlanta Motor Speedway,35,51,Cody Ware,Cody Ware,4125
5547,Atlanta Motor Speedway,36,88,Shane van Gisbergen,Shane van Gisbergen,4469
5547,Atlanta Motor Speedway,37,44,J.J. Yeley,JJ Yeley,3669
5547,Atlanta Motor Speedway,38,35,Riley Herbst,Riley Herbst,4269
5547,Atlanta Motor Speedway,39,78,BJ McLeod,BJ McLeod,3973
5548,Las Vegas Motor Speedway,1,24,William Byron,William Byron,4184
5548,Las Vegas Motor Speedway,2,5,Kyle Larson,Kyle Larson,4030
5548,Las Vegas Motor Speedway,3,20,Christopher Bell,Christopher Bell,4153
5548,Las Vegas Motor Speedway,4,11,Denny Hamlin,Denny Hamlin,1361
5548,Las Vegas Motor Speedway,5,48,Alex Bowman,Alex Bowman,4045
5548,Las Vegas Motor Speedway,6,45,Tyler Reddick,Tyler Reddick,4065
5548,Las Vegas Motor Speedway,7,1,Ross Chastain,Ross Chastain,4001
5548,Las Vegas Motor Speedway,8,17,Chris Buescher,Chris Buescher,3989
5548,Las Vegas Motor Speedway,9,12,Ryan Blaney,Ryan Blaney,4023
5548,Las Vegas Motor Speedway,10,8,Kyle Busch,Kyle Busch,454
5548,Las Vegas Motor Speedway,11,22,Joey Logano,Joey Logano,3859
5548,Las Vegas Motor Speedway,12,9,Chase Elliott,Chase Elliott,4062
5548,Las Vegas Motor Speedway,13,23,Bubba Wallace,Bubba Wallace,4025
5548,Las Vegas Motor Speedway,14,99,Daniel Suárez,Daniel Suárez,4113
5548,Las Vegas Motor Speedway,15,16,AJ Allmendinger,AJ Allmendinger,3774
5548,Las Vegas Motor Speedway,16,2,Austin Cindric,Austin Cindric,4180
