race_id,race_season,race_name,track_name,race_date,finishing_position,starting_position,car_number,driver_fullname,driver_id,team_name,car_make,sponsor,crew_chief_fullname,laps_completed,finishing_status,laps_led,times_led,points_earned,diff_laps,diff_time,playoff_points_earned,points_position,points_delta,disqualified,qualifying_order,qualifying_position,qualifying_speed,track_type,track_length
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,5,38,10,Aric Almirola,40,Stewart-Haas Racing,Ford,Smithifeld,Drew Blickensderfer,201,Running,0,0,32,0,140,0,12,0,FALSE,10,38,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,36,28,44,Greg Biffle,243,NY Racing Team,Chevrolet,,Jay Guy,136,Running,0,0,0,65,0,0,40,0,FALSE,31,28,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,19,17,45,Kurt Busch,453,23XI Racing,Toyota,Monster Energy,Billy Scott,199,Running,0,0,22,2,0,0,16,0,FALSE,32,17,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,6,10,18,Kyle Busch,454,Joe Gibbs Racing,Toyota,M&M's,Ben Beshore,201,Running,28,4,31,0,169,0,8,0,FALSE,17,10,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,37,30,11,Denny Hamlin,1361,Joe Gibbs Racing,Toyota,FedEx Express,Christopher Gabehart,63,Accident,0,0,1,138,0,0,34,0,FALSE,11,30,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,30,22,4,Kevin Harvick,1416,Stewart-Haas Racing,Ford,Busch Light #BUSCHRACETEAM,Rodney Childers,191,DVP,0,0,10,10,0,0,28,0,FALSE,4,22,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,9,3,6,Brad Keselowski,1816,Roush Fenway Keselowski Racing,Ford,Kohler Generators ,Matt McCall,201,Running,67,6,44,0,290,0,2,0,FALSE,6,3,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,8,34,15,David Ragan,2674,Rick Ware Racing,Ford,Select Blinds Ford,Mike Hillman Sr.,201,Running,0,0,29,0,277,0,13,0,FALSE,14,34,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,13,14,19,Martin Truex Jr,3368,Joe Gibbs Racing,Toyota,Bass Pro Shops,James Small,201,Running,11,3,44,0,604,2,3,0,FALSE,18,14,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,15,27,77,Landon Cassill,3808,Spire Motorsports,Chevrolet,Fox Nation,Kevin Bellicourt,201,Running,0,0,0,0,6132,0,37,0,FALSE,40,27,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,22,40,27,Jacques Villeneuve,3823,Team Hezeberg,Ford,Hezeberg Engineering Systems,Josh Reaume,198,Running,0,0,15,3,0,0,23,0,FALSE,24,40,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,7,6,34,Michael McDowell,3832,Front Row Motorsports,Ford,Love's Travel Stops,Blake Harris,201,Running,0,0,30,0,256,0,7,0,FALSE,26,6,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,21,20,22,Joey Logano,3859,Team Penske,Ford,Shell Pennzoil,Paul Wolfe,198,Running,1,1,31,3,0,0,11,0,FALSE,21,20,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,25,36,3,Austin Dillon,3873,Richard Childress Racing,Chevrolet,Bass Pro Shops / Tracker Off Road,Justin Alexander,197,Running,1,1,17,4,0,0,21,0,FALSE,3,36,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,28,18,47,Ricky Stenhouse Jr,3888,HYAK Motorsports,Chevrolet,Kroger/ Irish Spring,Brian Pattie,194,Accident,16,3,22,7,0,0,15,0,FALSE,33,18,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,27,37,78,BJ McLeod,3973,Live Fast Motorsports,Ford,NASCAR Ignition,Lee Leslie,196,Running,0,0,10,5,0,0,29,0,FALSE,41,37,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,16,4,17,Chris Buescher,3989,Roush Fenway Keselowski Racing,Ford,Fastenal,Scott Graves,200,Running,0,0,25,1,0,0,9,0,FALSE,16,4,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,40,19,1,Ross Chastain,4001,TrackHouse Racing,Chevrolet,AdventHealth,Philip Surgen,62,Accident,0,0,1,139,0,0,33,0,FALSE,1,19,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,11,26,42,Ty Dillon,4013,Legacy Motor Club,Chevrolet,Black Rifle Coffee Company,Jerame Donley,201,Running,0,0,26,0,415,0,14,0,FALSE,29,26,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,4,7,12,Ryan Blaney,4023,Team Penske,Ford,Menards\Blue DEF\PEAK,Jonathan Hassler,201,Running,36,1,33,0,130,0,6,0,FALSE,12,7,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,2,16,23,Bubba Wallace,4025,23XI Racing,Toyota,McDonald's,Bootie Barker,201,Running,12,7,43,0,36,0,4,0,FALSE,22,16,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,32,1,5,Kyle Larson,4030,Hendrick Motorsports,Chevrolet,HendrickCars.com,Cliff Daniels,190,Accident,1,2,9,11,0,0,26,0,FALSE,5,1,181.159,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,24,2,48,Alex Bowman,4045,Hendrick Motorsports,Chevrolet,Ally,Greg Ives,197,Running,0,0,13,4,0,0,25,0,FALSE,34,2,181.046,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,29,13,43,Erik Jones,4059,Legacy Motor Club,Chevrolet,FOCUSfactor,David Elenz,191,Accident,3,1,11,10,0,0,22,0,FALSE,30,13,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,10,11,9,Chase Elliott,4062,Hendrick Motorsports,Chevrolet,NAPA Auto Parts,Alan Gustafson,201,Running,0,0,28,0,391,0,10,0,FALSE,9,11,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,35,15,8,Tyler Reddick,4065,Richard Childress Racing,Chevrolet,3CHI,Randall Burnett,151,Accident,0,0,2,50,0,0,32,0,FALSE,8,15,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,12,33,16,Daniel Hemric,4093,Kaulig Racing,Chevrolet,Heritage Pool Supply Group,Matt Swiderski,201,Running,0,0,0,0,536,0,36,0,FALSE,15,33,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,14,24,7,Corey Lajoie,4096,Spire Motorsports,Chevrolet,Built.com,Ryan Sparks,201,Running,0,0,23,0,1026,0,17,0,FALSE,7,24,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,20,31,41,Cole Custer,4104,Stewart-Haas Racing,Ford,HaasTooling.com,Mike Shiplett,199,Running,0,0,17,2,0,0,20,0,FALSE,28,31,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,18,21,99,Daniel Suárez,4113,TrackHouse Racing,Chevrolet,Tootsies Orchid Lounge,Travis Mack,199,Running,0,0,19,2,0,0,19,0,FALSE,42,21,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,17,32,51,Cody Ware,4125,Rick Ware Racing,Ford,Nurtec ODT Ford,Billy Plourde,200,Running,0,0,20,1,0,0,18,0,FALSE,36,32,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,34,12,20,Christopher Bell,4153,Joe Gibbs Racing,Toyota,DEWALT ,Adam Stevens,152,Accident,0,0,3,49,0,0,30,0,FALSE,19,12,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,23,25,31,Justin Haley,4172,Kaulig Racing,Chevrolet,LeafFilter Gutter Protection,Trent Owens,198,Running,0,0,14,3,0,0,24,0,FALSE,25,25,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,1,5,2,Austin Cindric,4180,Team Penske,Ford,Discount Tire,Jeremy Bullins,201,Running,21,4,45,0,0,5,1,0,FALSE,2,5,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,38,23,24,William Byron,4184,Hendrick Motorsports,Chevrolet,Axalta,Rudy Fugle,62,Accident,1,1,1,139,0,0,35,0,FALSE,23,23,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,26,35,50,Kaz Grala,4191,Team Amerivet,Chevrolet,Pit Viper Sunglasses,Tommy Baldwin Jr,196,Running,0,0,0,5,0,0,38,0,FALSE,35,35,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,39,8,21,Harrison Burton,4217,Wood Brothers Racing,Ford,Motorcraft \ Dex Imaging,Brian Wilson,62,Accident,3,2,1,139,0,0,31,0,FALSE,20,8,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,31,39,62,Noah Gragson,4224,Beard Motorsports,Chevrolet,Beard Motorsports/South Point,Darren Shaw,190,Accident,0,0,0,11,0,0,39,0,FALSE,38,39,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,3,9,14,Chase Briscoe,4228,Stewart-Haas Racing,Ford,Mahindra Tractors,John Klausmeier,201,Running,0,0,34,0,91,0,5,0,FALSE,13,9,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,33,29,38,Todd Gilliland,4231,Front Row Motorsports,Ford,First Phase Credit Card,Seth Barbour,190,Accident,0,0,13,11,0,0,27,0,FALSE,27,29,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,42,42,66,Timmy Hill,3984,Garage 66,Ford,Bumper.com,Jeff Weaver,0,,0,0,0,0,0,0,42,0,FALSE,39,42,0,superspeedway,2.5
5146,2022,DAYTONA 500,Daytona International Speedway,2022-02-20T14:30:00,41,41,55,JJ Yeley,3669,Garage 66,Ford,Hex.com,George Church,0,,0,0,0,0,0,0,41,0,FALSE,37,41,0,superspeedway,2.5
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,6,31,10,Aric Almirola,40,Stewart-Haas Racing,Ford,Rush \ Mobil Delvac 1,Drew Blickensderfer,200,Running,0,0,34,0,2109,0,7,5,FALSE,10,31,0,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,8,36,45,Kurt Busch,453,23XI Racing,Toyota,Monster Energy,Billy Scott,200,Running,0,0,29,0,2239,0,12,4,FALSE,30,36,0,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,14,3,18,Kyle Busch,454,Joe Gibbs Racing,Toyota,Interstate Batteries ,Ben Beshore,200,Running,0,0,23,0,3781,0,11,-3,FALSE,17,3,173.758,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,15,4,11,Denny Hamlin,1361,Joe Gibbs Racing,Toyota,FedEx Ground ,Christopher Gabehart,200,Running,0,0,23,0,4089,0,30,4,FALSE,11,4,173.373,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,7,32,4,Kevin Harvick,1416,Stewart-Haas Racing,Ford,Subway,Rodney Childers,200,Running,1,1,30,0,2155,0,20,8,FALSE,4,32,0,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,27,9,6,Brad Keselowski,1816,Roush Fenway Keselowski Racing,Ford,Violet Defense,Matt McCall,198,Running,0,0,10,2,0,0,10,-8,FALSE,6,9,173.9,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,13,12,19,Martin Truex Jr,3368,Joe Gibbs Racing,Toyota,Reser's Fine Foods,James Small,200,Running,0,0,24,0,3664,0,3,0,FALSE,18,12,173.423,two mile,2
5147,2022,Wise Power 400,Auto Club Speedway,2022-02-27T12:30:00,31,23,34,Michael McDowell,3832,Front Row Motorsports,Ford,Stage Front,Blake Harris,193,Electrical,0,0,6,7,0,0,18,-11,FALSE,25,23,171.2,two mile,2
