race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5146,1,1,19,3368,Martin Truex Jr.,10
5146,1,2,6,1816,Brad Keselowski,9
5146,1,3,38,4231,Todd Gilliland #,8
5146,1,4,47,3888,Ricky Stenhouse Jr.,7
5146,1,5,22,3859,Joey Logano,6
5146,1,6,3,3873,Austin Dillon,5
5146,1,7,45,453,Kurt Busch,4
5146,1,8,43,4059,Erik Jones,3
5146,1,9,5,4030,Kyle Larson,2
5146,1,10,9,4062,Chase Elliott,1
5146,1,11,24,4184,William Byron Jr.,0
5146,1,12,21,4217,Harrison Burton #,0
5146,1,13,18,454,Kyle Busch,0
5146,1,14,11,1361,Denny Hamlin,0
5146,1,15,20,4153,Christopher Bell,0
5146,1,16,1,4001,Ross Chastain,0
5146,1,17,48,4045,Alex Bowman,0
5146,1,18,23,4025,Bubba Wallace,0
5146,1,19,2,4180,Austin Cindric #,0
5146,1,20,7,4096,Corey LaJoie,0
5146,1,21,62,4224,* Noah Gragson(i),0
5146,1,22,42,4013,Ty Dillon,0
5146,1,23,8,4065,Tyler Reddick,0
5146,1,24,34,3832,Michael McDowell,0
5146,1,25,15,2674,David Ragan,0
5146,1,26,99,4113,Daniel Suarez,0
5146,1,27,51,4125,Cody Ware,0
5146,1,28,12,4023,Ryan Blaney,0
5146,1,29,10,40,Aric Almirola,0
5146,1,30,41,4104,Cole Custer,0
5146,1,31,14,4228,Chase Briscoe,0
5146,1,32,4,1416,Kevin Harvick,0
5146,1,33,17,3989,Chris Buescher,0
5146,1,34,27,3823,* Jacques Villeneuve,0
5146,1,35,78,3973,BJ McLeod,0
5146,1,36,16,4093,Daniel Hemric(i),0
5146,1,37,77,3808,Landon Cassill(i),0
5146,1,38,31,4172,Justin Haley,0
5146,1,39,50,4191,* Kaz Grala(i),0
5146,1,40,44,243,* Greg Biffle(i),0
5146,2,1,19,3368,Martin Truex Jr.,10
5146,2,2,22,3859,Joey Logano,9
5146,2,3,23,4025,Bubba Wallace,8
5146,2,4,6,1816,Brad Keselowski,7
5146,2,5,47,3888,Ricky Stenhouse Jr.,6
5146,2,6,2,4180,Austin Cindric #,5
5146,2,7,17,3989,Chris Buescher,4
5146,2,8,4,1416,Kevin Harvick,3
5146,2,9,5,4030,Kyle Larson,2
5146,2,10,38,4231,Todd Gilliland #,1
5146,2,11,12,4023,Ryan Blaney,0
5146,2,12,43,4059,Erik Jones,0
5146,2,13,42,4013,Ty Dillon,0
5146,2,14,18,454,Kyle Busch,0
5146,2,15,8,4065,Tyler Reddick,0
5146,2,16,10,40,Aric Almirola,0
5146,2,17,45,453,Kurt Busch,0
5146,2,18,34,3832,Michael McDowell,0
5146,2,19,62,4224,* Noah Gragson(i),0
5146,2,20,9,4062,Chase Elliott,0
5146,2,21,14,4228,Chase Briscoe,0
5146,2,22,16,4093,Daniel Hemric(i),0
5146,2,23,7,4096,Corey LaJoie,0
5146,2,24,15,2674,David Ragan,0
5146,2,25,51,4125,Cody Ware,0
5146,2,26,77,3808,Landon Cassill(i),0
5146,2,27,27,3823,* Jacques Villeneuve,0
5146,2,28,99,4113,Daniel Suarez,0
5146,2,29,3,3873,Austin Dillon,0
5146,2,30,31,4172,Justin Haley,0
5146,2,31,41,4104,Cole Custer,0
5146,2,32,50,4191,* Kaz Grala(i),0
5146,2,33,78,3973,BJ McLeod,0
5146,2,34,48,4045,Alex Bowman,0
5146,2,35,20,4153,Christopher Bell,0
5146,2,36,44,243,* Greg Biffle(i),0
5146,2,37,24,4184,William Byron Jr.,0
5146,2,38,21,4217,Harrison Burton #,0
5146,2,39,11,1361,Denny Hamlin,0
5146,2,40,1,4001,Ross Chastain,0
5147,1,1,8,4065,Tyler Reddick,10
5147,1,2,43,4059,Erik Jones,9
5147,1,3,24,4184,William Byron,8
5147,1,4,14,4228,Chase Briscoe,7
5147,1,5,5,4030,Kyle Larson,6
5147,1,6,48,4045,Alex Bowman,5
5147,1,7,22,3859,Joey Logano,4
5147,1,8,12,4023,Ryan Blaney,3
5147,1,9,2,4180,Austin Cindric #,2
5147,1,10,47,3888,Ricky Stenhouse Jr.,1
5147,1,11,11,1361,Denny Hamlin,0
5147,1,12,6,1816,Brad Keselowski,0
5147,1,13,99,4113,Daniel Suarez,0
5147,1,14,31,4172,Justin Haley,0
5147,1,15,19,3368,Martin Truex Jr.,0
5147,1,16,17,3989,Chris Buescher,0
5147,1,17,3,3873,Austin Dillon,0
5147,1,18,41,4104,Cole Custer,0
5147,1,19,10,40,Aric Almirola,0
5147,1,20,34,3832,Michael McDowell,0
5147,1,21,21,4217,Harrison Burton #,0
5147,1,22,20,4153,Christopher Bell,0
5147,1,23,7,4096,Corey LaJoie,0
5147,1,24,42,4013,Ty Dillon,0
5147,1,25,1,4001,Ross Chastain,0
5147,1,26,38,4231,Todd Gilliland #,0
5147,1,27,4,1416,Kevin Harvick,0
5147,1,28,23,4025,Bubba Wallace,0
5147,1,29,45,453,Kurt Busch,0
5147,1,30,15,4142,Garrett Smithley,0
5147,1,31,78,3973,BJ McLeod,0
5147,1,32,9,4062,Chase Elliott,0
5147,1,33,77,4213,Josh Bilicki(i),0
5147,1,34,18,454,Kyle Busch,0
5147,1,35,16,4093,Daniel Hemric(i),0
5147,1,36,51,4125,Cody Ware,0
5147,2,1,8,4065,Tyler Reddick,10
5147,2,2,43,4059,Erik Jones,9
5147,2,3,22,3859,Joey Logano,8
5147,2,4,12,4023,Ryan Blaney,7
5147,2,5,5,4030,Kyle Larson,6
5147,2,6,41,4104,Cole Custer,5
5147,2,7,2,4180,Austin Cindric #,4
5147,2,8,10,40,Aric Almirola,3
5147,2,9,24,4184,William Byron,2
5147,2,10,11,1361,Denny Hamlin,1
5147,2,11,48,4045,Alex Bowman,0
5147,2,12,1,4001,Ross Chastain,0
5147,2,13,47,3888,Ricky Stenhouse Jr.,0
5147,2,14,3,3873,Austin Dillon,0
5147,2,15,99,4113,Daniel Suarez,0
5147,2,16,4,1416,Kevin Harvick,0
5147,2,17,14,4228,Chase Briscoe,0
5147,2,18,19,3368,Martin Truex Jr.,0
5147,2,19,34,3832,Michael McDowell,0
5147,2,20,21,4217,Harrison Burton #,0
5147,2,21,23,4025,Bubba Wallace,0
5147,2,22,31,4172,Justin Haley,0
5147,2,23,42,4013,Ty Dillon,0
5147,2,24,9,4062,Chase Elliott,0
5147,2,25,38,4231,Todd Gilliland #,0
5147,2,26,7,4096,Corey LaJoie,0
5147,2,27,6,1816,Brad Keselowski,0
5147,2,28,45,453,Kurt Busch,0
5147,2,29,15,4142,Garrett Smithley,0
5147,2,30,78,3973,BJ McLeod,0
5147,2,31,77,4213,Josh Bilicki(i),0
5147,2,32,18,454,Kyle Busch,0
5147,2,33,16,4093,Daniel Hemric(i),0
5147,2,34,51,4125,Cody Ware,0
5147,2,35,17,3989,Chris Buescher,0
5147,2,36,20,4153,Christopher Bell,0
5148,1,1,48,4045,Alex Bowman,10
5148,1,2,24,4184,William Byron,9
5148,1,3,1,4001,Ross Chastain,8
5148,1,4,11,1361,Denny Hamlin,7
5148,1,5,9,4062,Chase Elliott,6
5148,1,6,5,4030,Kyle Larson,5
5148,1,7,12,4023,Ryan Blaney,4
5148,1,8,14,4228,Chase Briscoe,3
5148,1,9,18,454,Kyle Busch,2
5148,1,10,20,4153,Christopher Bell,1
5148,1,11,4,1416,Kevin Harvick,0
5148,1,12,43,4059,Erik Jones,0
5148,1,13,6,1816,Brad Keselowski,0
5148,1,14,22,3859,Joey Logano,0
5148,1,15,2,4180,Austin Cindric #,0
5148,1,16,19,3368,Martin Truex Jr.,0
5148,1,17,99,4113,Daniel Suarez,0
5148,1,18,10,40,Aric Almirola,0
5148,1,19,8,4065,Tyler Reddick,0
5148,1,20,23,4025,Bubba Wallace,0
5148,1,21,47,3888,Ricky Stenhouse Jr.,0
5148,1,22,17,3989,Chris Buescher,0
5148,1,23,21,4217,Harrison Burton #,0
5148,1,24,31,4172,Justin Haley,0
5148,1,25,3,3873,Austin Dillon,0
5148,1,26,34,3832,Michael McDowell,0
5148,1,27,38,4231,Todd Gilliland #,0
5148,1,28,45,453,Kurt Busch,0
5148,1,29,7,4096,Corey LaJoie,0
5148,1,30,42,4013,Ty Dillon,0
5148,1,31,41,4104,Cole Custer,0
5148,1,32,51,4125,Cody Ware,0
5148,1,33,44,243,* Greg Biffle,0
5148,1,34,77,4213,Josh Bilicki(i),0
5148,1,35,16,4093,Daniel Hemric(i),0
5148,1,36,78,3973,BJ McLeod,0
5148,1,37,15,4142,Garrett Smithley,0
5148,2,1,1,4001,Ross Chastain,10
5148,2,2,9,4062,Chase Elliott,9
5148,2,3,5,4030,Kyle Larson,8
5148,2,4,24,4184,William Byron,7
5148,2,5,18,454,Kyle Busch,6
5148,2,6,19,3368,Martin Truex Jr.,5
5148,2,7,22,3859,Joey Logano,4
5148,2,8,4,1416,Kevin Harvick,3
5148,2,9,11,1361,Denny Hamlin,2
5148,2,10,23,4025,Bubba Wallace,1
5148,2,11,8,4065,Tyler Reddick,0
5148,2,12,43,4059,Erik Jones,0
5148,2,13,47,3888,Ricky Stenhouse Jr.,0
5148,2,14,10,40,Aric Almirola,0
5148,2,15,3,3873,Austin Dillon,0
5148,2,16,45,453,Kurt Busch,0
5148,2,17,17,3989,Chris Buescher,0
5148,2,18,38,4231,Todd Gilliland #,0
5148,2,19,48,4045,Alex Bowman,0
5148,2,20,7,4096,Corey LaJoie,0
5148,2,21,2,4180,Austin Cindric #,0
5148,2,22,34,3832,Michael McDowell,0
5148,2,23,42,4013,Ty Dillon,0
5148,2,24,31,4172,Justin Haley,0
5148,2,25,41,4104,Cole Custer,0
5148,2,26,51,4125,Cody Ware,0
5148,2,27,16,4093,Daniel Hemric(i),0
5148,2,28,21,4217,Harrison Burton #,0
5148,2,29,77,4213,Josh Bilicki(i),0
5148,2,30,78,3973,BJ McLeod,0
5148,2,31,20,4153,Christopher Bell,0
5148,2,32,6,1816,Brad Keselowski,0
5148,2,33,15,4142,Garrett Smithley,0
5148,2,34,44,243,* Greg Biffle,0
5148,2,35,14,4228,Chase Briscoe,0
5148,2,36,12,4023,Ryan Blaney,0
5148,2,37,99,4113,Daniel Suarez,0
5149,1,1,24,4184,William Byron,10
5149,1,2,14,4228,Chase Briscoe,9
5149,1,3,9,4062,Chase Elliott,8
5149,1,4,8,4065,Tyler Reddick,7
5149,1,5,48,4045,Alex Bowman,6
5149,1,6,20,4153,Christopher Bell,5
5149,1,7,5,4030,Kyle Larson,4
5149,1,8,4,1416,Kevin Harvick,3
5149,1,9,22,3859,Joey Logano,2
5149,1,10,3,3873,Austin Dillon,1
5149,1,11,19,3368,Martin Truex Jr.,0
5149,1,12,45,453,Kurt Busch,0
5149,1,13,12,4023,Ryan Blaney,0
5149,1,14,2,4180,Austin Cindric #,0
5149,1,15,17,3989,Chris Buescher,0
5149,1,16,18,454,Kyle Busch,0
5149,1,17,23,4025,Bubba Wallace,0
5149,1,18,1,4001,Ross Chastain,0
5149,1,19,42,4013,Ty Dillon,0
5149,1,20,99,4113,Daniel Suarez,0
5149,1,21,38,4231,Todd Gilliland #,0
5149,1,22,10,40,Aric Almirola,0
5149,1,23,41,4104,Cole Custer,0
5149,1,24,11,1361,Denny Hamlin,0
5149,1,25,43,4059,Erik Jones,0
5149,1,26,47,3888,Ricky Stenhouse Jr.,0
5149,1,27,16,3774,AJ Allmendinger(i),0
5149,1,28,31,4172,Justin Haley,0
5149,1,29,21,4217,Harrison Burton #,0
5149,1,30,34,3832,Michael McDowell,0
5149,1,31,6,1816,Brad Keselowski,0
5149,1,32,77,3808,Landon Cassill(i),0
5149,1,33,51,4125,Cody Ware,0
5149,1,34,15,4142,Garrett Smithley,0
5149,1,35,78,3973,BJ McLeod,0
5149,1,36,7,4096,Corey LaJoie,0
5149,2,1,12,4023,Ryan Blaney,10
5149,2,2,9,4062,Chase Elliott,9
5149,2,3,4,1416,Kevin Harvick,8
5149,2,4,24,4184,William Byron,7
5149,2,5,5,4030,Kyle Larson,6
5149,2,6,8,4065,Tyler Reddick,5
5149,2,7,1,4001,Ross Chastain,4
5149,2,8,14,4228,Chase Briscoe,3
5149,2,9,3,3873,Austin Dillon,2
5149,2,10,22,3859,Joey Logano,1
5149,2,11,18,454,Kyle Busch,0
5149,2,12,10,40,Aric Almirola,0
5149,2,13,48,4045,Alex Bowman,0
5149,2,14,19,3368,Martin Truex Jr.,0
5149,2,15,99,4113,Daniel Suarez,0
5149,2,16,17,3989,Chris Buescher,0
5149,2,17,41,4104,Cole Custer,0
5149,2,18,11,1361,Denny Hamlin,0
5149,2,19,45,453,Kurt Busch,0
5149,2,20,38,4231,Todd Gilliland #,0
5149,2,21,43,4059,Erik Jones,0
5149,2,22,42,4013,Ty Dillon,0
5149,2,23,31,4172,Justin Haley,0
5149,2,24,16,3774,AJ Allmendinger(i),0
5149,2,25,2,4180,Austin Cindric #,0
5149,2,26,6,1816,Brad Keselowski,0
5149,2,27,23,4025,Bubba Wallace,0
5149,2,28,47,3888,Ricky Stenhouse Jr.,0
5149,2,29,20,4153,Christopher Bell,0
5149,2,30,34,3832,Michael McDowell,0
5149,2,31,21,4217,Harrison Burton #,0
5149,2,32,77,3808,Landon Cassill(i),0
5149,2,33,51,4125,Cody Ware,0
5149,2,34,15,4142,Garrett Smithley,0
5149,2,35,78,3973,BJ McLeod,0
5149,2,36,7,4096,Corey LaJoie,0
5150,1,1,24,4184,William Byron,10
5150,1,2,11,1361,Denny Hamlin,9
5150,1,3,99,4113,Daniel Suarez,8
5150,1,4,47,3888,Ricky Stenhouse Jr.,7
5150,1,5,43,4059,Erik Jones,6
5150,1,6,45,453,Kurt Busch,5
5150,1,7,48,4045,Alex Bowman,4
5150,1,8,8,4065,Tyler Reddick,3
5150,1,9,5,4030,Kyle Larson,2
5150,1,10,20,4153,Christopher Bell,1
5150,1,11,2,4180,Austin Cindric #,0
5150,1,12,3,3873,Austin Dillon,0
5150,1,13,18,454,Kyle Busch,0
5150,1,14,10,40,Aric Almirola,0
5150,1,15,22,3859,Joey Logano,0
5150,1,16,9,4062,Chase Elliott,0
5150,1,17,23,4025,Bubba Wallace,0
