race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5343,1,1,19,4268,Christian Eckes,10
5343,1,2,88,694,Matt Crafton,9
5343,1,3,25,3916,Matt DiBenedetto,8
5343,1,4,13,4366,Hailie Deegan,7
5343,1,5,2,4416,Nick Sanchez #,6
5343,1,6,98,4235,Ty Majeski,5
5343,1,7,42,4326,Carson Hocevar,4
5343,1,8,15,4342,Tanner Gray,3
5343,1,9,51,4391,Jack Wood,2
5343,1,10,23,3978,Grant Enfinger,1
5343,1,11,84,3936,Clay Greenfield,0
5343,1,12,16,4296,Tyler Ankrum,0
5343,1,13,52,4205,Stewart Friesen,0
5343,1,14,99,4107,Ben Rhodes,0
5343,1,15,32,4373,Bret Holmes #,0
5343,1,16,38,4272,Zane Smith,0
5343,1,17,35,4062,Chase Elliott(i),0
5343,1,18,11,4387,Corey Heim,0
5343,1,19,7,4096,Corey LaJoie(i),0
5343,1,20,24,4422,Rajah Caruth #,0
5343,1,21,9,4344,Colby Howard,0
5343,1,22,17,4441,Sammy Smith(i),0
5343,1,23,75,3914,Parker Kligerman(i),0
5343,1,24,43,4451,Daniel Dye #,0
5343,1,25,5,4414,Dean Thompson,0
5343,1,26,1,3557,Jason A White,0
5343,1,27,4,4295,Chase Purdy,0
5343,1,28,56,3984,Timmy Hill,0
5343,1,29,97,4287,Codie Rohrbaugh,0
5343,1,30,30,4408,Chris Hacker,0
5343,1,31,20,4297,Derek Kraus,0
5343,1,32,02,4364,Kris Wright,0
5343,1,33,41,4024,Travis Pastrana(i),0
5343,1,34,33,4315,Mason Massey,0
5343,1,35,34,4292,Jason M White,0
5343,1,36,22,4102,Josh Reaume,0
5343,2,1,16,4296,Tyler Ankrum,10
5343,2,2,4,4295,Chase Purdy,9
5343,2,3,88,694,Matt Crafton,8
5343,2,4,2,4416,Nick Sanchez #,7
5343,2,5,19,4268,Christian Eckes,6
5343,2,6,98,4235,Ty Majeski,5
5343,2,7,99,4107,Ben Rhodes,4
5343,2,8,23,3978,Grant Enfinger,3
5343,2,9,51,4391,Jack Wood,2
5343,2,10,42,4326,Carson Hocevar,1
5343,2,11,32,4373,Bret Holmes #,0
5343,2,12,75,3914,Parker Kligerman(i),0
5343,2,13,97,4287,Codie Rohrbaugh,0
5343,2,14,9,4344,Colby Howard,0
5343,2,15,41,4024,Travis Pastrana(i),0
5343,2,16,7,4096,Corey LaJoie(i),0
5343,2,17,52,4205,Stewart Friesen,0
5343,2,18,24,4422,Rajah Caruth #,0
5343,2,19,38,4272,Zane Smith,0
5343,2,20,35,4062,Chase Elliott(i),0
5343,2,21,11,4387,Corey Heim,0
5343,2,22,56,3984,Timmy Hill,0
5343,2,23,30,4408,Chris Hacker,0
5343,2,24,1,3557,Jason A White,0
5343,2,25,20,4297,Derek Kraus,0
5343,2,26,02,4364,Kris Wright,0
5343,2,27,25,3916,Matt DiBenedetto,0
5343,2,28,17,4441,Sammy Smith(i),0
5343,2,29,43,4451,Daniel Dye #,0
5343,2,30,22,4102,Josh Reaume,0
5343,2,31,33,4315,Mason Massey,0
5343,2,32,34,4292,Jason M White,0
5343,2,33,15,4342,Tanner Gray,0
5343,2,34,84,3936,Clay Greenfield,0
5343,2,35,13,4366,Hailie Deegan,0
5343,2,36,5,4414,Dean Thompson,0
5344,1,1,38,4272,Zane Smith,10
5344,1,2,98,4235,Ty Majeski,9
5344,1,3,25,3916,Matt DiBenedetto,8
5344,1,4,23,3978,Grant Enfinger,7
5344,1,5,24,4422,Rajah Caruth #,6
5344,1,6,88,694,Matt Crafton,5
5344,1,7,99,4107,Ben Rhodes,4
5344,1,8,42,4326,Carson Hocevar,3
5344,1,9,41,4001,Ross Chastain(i),0
5344,1,10,15,4342,Tanner Gray,1
5344,1,11,11,4387,Corey Heim,0
5344,1,12,51,454,Kyle Busch(i),0
5344,1,13,5,4414,Dean Thompson,0
5344,1,14,17,4092,John Hunter Nemechek(i),0
5344,1,15,4,4295,Chase Purdy,0
5344,1,16,35,4423,Jake Garcia #,0
5344,1,17,9,4344,Colby Howard,0
5344,1,18,52,4205,Stewart Friesen,0
5344,1,19,19,4268,Christian Eckes,0
5344,1,20,1,4191,Kaz Grala(i),0
5344,1,21,45,4371,Lawless Alan,0
5344,1,22,22,4429,Max Gutierrez,0
5344,1,23,13,4366,Hailie Deegan,0
5344,1,24,02,4364,Kris Wright,0
5344,1,25,16,4296,Tyler Ankrum,0
5344,1,26,04,4427,Kaden Honeycutt,0
5344,1,27,33,4315,Mason Massey,0
5344,1,28,20,4209,Matt Mills,0
5344,1,29,56,3984,Timmy Hill,0
5344,1,30,12,4192,Spencer Boyd,0
5344,1,31,2,4416,Nick Sanchez #,0
5344,1,32,43,4451,Daniel Dye #,0
5344,1,33,46,4144,Brennan Poole(i),0
5344,1,34,32,4373,Bret Holmes #,0
5344,1,35,34,4102,Josh Reaume,0
5344,2,1,42,4326,Carson Hocevar,10
5344,2,2,99,4107,Ben Rhodes,9
5344,2,3,25,3916,Matt DiBenedetto,8
5344,2,4,4,4295,Chase Purdy,7
5344,2,5,23,3978,Grant Enfinger,6
5344,2,6,88,694,Matt Crafton,5
5344,2,7,24,4422,Rajah Caruth #,4
5344,2,8,1,4191,Kaz Grala(i),0
5344,2,9,15,4342,Tanner Gray,2
5344,2,10,98,4235,Ty Majeski,1
5344,2,11,22,4429,Max Gutierrez,0
5344,2,12,51,454,Kyle Busch(i),0
5344,2,13,19,4268,Christian Eckes,0
5344,2,14,17,4092,John Hunter Nemechek(i),0
5344,2,15,11,4387,Corey Heim,0
5344,2,16,13,4366,Hailie Deegan,0
5344,2,17,41,4001,Ross Chastain(i),0
5344,2,18,35,4423,Jake Garcia #,0
5344,2,19,52,4205,Stewart Friesen,0
5344,2,20,16,4296,Tyler Ankrum,0
5344,2,21,5,4414,Dean Thompson,0
5344,2,22,38,4272,Zane Smith,0
5344,2,23,43,4451,Daniel Dye #,0
5344,2,24,33,4315,Mason Massey,0
5344,2,25,45,4371,Lawless Alan,0
5344,2,26,56,3984,Timmy Hill,0
5344,2,27,9,4344,Colby Howard,0
5344,2,28,12,4192,Spencer Boyd,0
5344,2,29,20,4209,Matt Mills,0
5344,2,30,2,4416,Nick Sanchez #,0
5344,2,31,04,4427,Kaden Honeycutt,0
5344,2,32,02,4364,Kris Wright,0
5344,2,33,46,4144,Brennan Poole(i),0
5344,2,34,32,4373,Bret Holmes #,0
5344,2,35,34,4102,Josh Reaume,0
5345,1,1,19,4268,Christian Eckes,10
5345,1,2,38,4272,Zane Smith,9
5345,1,3,23,3978,Grant Enfinger,8
5345,1,4,88,694,Matt Crafton,7
5345,1,5,25,3916,Matt DiBenedetto,6
5345,1,6,98,4235,Ty Majeski,5
5345,1,7,52,4205,Stewart Friesen,4
5345,1,8,99,4107,Ben Rhodes,3
5345,1,9,4,4295,Chase Purdy,2
5345,1,10,35,4423,Jake Garcia #,1
5345,1,11,5,4414,Dean Thompson,0
5345,1,12,45,4371,Lawless Alan,0
5345,1,13,24,4422,Rajah Caruth #,0
5345,1,14,42,4326,Carson Hocevar,0
5345,1,15,17,4092,John Hunter Nemechek(i),0
5345,1,16,11,4387,Corey Heim,0
5345,1,17,16,4296,Tyler Ankrum,0
5345,1,18,02,4364,Kris Wright,0
5345,1,19,04,4427,Kaden Honeycutt,0
5345,1,20,41,4257,Bayley Currey(i),0
5345,1,21,32,4373,Bret Holmes #,0
5345,1,22,2,4416,Nick Sanchez #,0
5345,1,23,51,4391,Jack Wood,0
5345,1,24,9,4344,Colby Howard,0
5345,1,25,13,4366,Hailie Deegan,0
5345,1,26,56,3984,Timmy Hill,0
5345,1,27,30,4320,Ryan Vargas,0
5345,1,28,33,4315,Mason Massey,0
5345,1,29,12,4192,Spencer Boyd,0
5345,1,30,15,4342,Tanner Gray,0
5345,1,31,46,4138,Akinori Ogata,0
5345,1,32,22,4102,Josh Reaume,0
5345,1,33,43,4451,Daniel Dye #,0
5345,1,34,1,4446,Layne Riggs,0
5345,1,35,20,4432,Mason Maggio,0
5345,1,36,34,4382,Keith McGee(i),0
5345,2,1,88,694,Matt Crafton,10
5345,2,2,98,4235,Ty Majeski,9
5345,2,3,17,4092,John Hunter Nemechek(i),0
5345,2,4,99,4107,Ben Rhodes,7
5345,2,5,11,4387,Corey Heim,6
5345,2,6,38,4272,Zane Smith,5
5345,2,7,16,4296,Tyler Ankrum,4
5345,2,8,23,3978,Grant Enfinger,3
5345,2,9,52,4205,Stewart Friesen,2
5345,2,10,2,4416,Nick Sanchez #,1
5345,2,11,25,3916,Matt DiBenedetto,0
5345,2,12,24,4422,Rajah Caruth #,0
5345,2,13,45,4371,Lawless Alan,0
5345,2,14,19,4268,Christian Eckes,0
5345,2,15,9,4344,Colby Howard,0
5345,2,16,41,4257,Bayley Currey(i),0
5345,2,17,42,4326,Carson Hocevar,0
5345,2,18,4,4295,Chase Purdy,0
5345,2,19,13,4366,Hailie Deegan,0
5345,2,20,5,4414,Dean Thompson,0
5345,2,21,32,4373,Bret Holmes #,0
5345,2,22,51,4391,Jack Wood,0
5345,2,23,30,4320,Ryan Vargas,0
5345,2,24,56,3984,Timmy Hill,0
5345,2,25,02,4364,Kris Wright,0
5345,2,26,46,4138,Akinori Ogata,0
5345,2,27,33,4315,Mason Massey,0
5345,2,28,12,4192,Spencer Boyd,0
5345,2,29,15,4342,Tanner Gray,0
5345,2,30,22,4102,Josh Reaume,0
5345,2,31,43,4451,Daniel Dye #,0
5345,2,32,1,4446,Layne Riggs,0
5345,2,33,35,4423,Jake Garcia #,0
5345,2,34,20,4432,Mason Maggio,0
5345,2,35,04,4427,Kaden Honeycutt,0
5345,2,36,34,4382,Keith McGee(i),0
5346,1,1,19,4268,Christian Eckes,10
5346,1,2,98,4235,Ty Majeski,9
5346,1,3,11,4387,Corey Heim,8
5346,1,4,1,4191,Kaz Grala(i),0
5346,1,5,51,454,Kyle Busch(i),0
5346,1,6,41,4001,Ross Chastain(i),0
5346,1,7,16,4296,Tyler Ankrum,4
5346,1,8,38,4272,Zane Smith,3
5346,1,9,99,4107,Ben Rhodes,2
5346,1,10,25,3916,Matt DiBenedetto,1
5346,1,11,2,4416,Nick Sanchez #,0
5346,1,12,23,3978,Grant Enfinger,0
5346,1,13,75,3914,Parker Kligerman(i),0
5346,1,14,13,4366,Hailie Deegan,0
5346,1,15,15,4342,Tanner Gray,0
5346,1,16,45,4371,Lawless Alan,0
5346,1,17,22,4394,Logan Bearden,0
5346,1,18,04,4427,Kaden Honeycutt,0
5346,1,19,52,4205,Stewart Friesen,0
5346,1,20,56,3984,Timmy Hill,0
5346,1,21,24,4422,Rajah Caruth #,0
5346,1,22,02,4364,Kris Wright,0
5346,1,23,17,4406,Taylor Gray,0
5346,1,24,43,4451,Daniel Dye #,0
5346,1,25,4,4295,Chase Purdy,0
5346,1,26,9,4344,Colby Howard,0
5346,1,27,35,4423,Jake Garcia #,0
5346,1,28,46,2667,Dale Quarterley,0
5346,1,29,34,4434,Mason Filippi,0
5346,1,30,32,4373,Bret Holmes #,0
5346,1,31,30,4310,Colin Garrett,0
5346,1,32,88,694,Matt Crafton,0
5346,1,33,12,4192,Spencer Boyd,0
5346,1,34,42,4326,Carson Hocevar,0
5346,1,35,5,4414,Dean Thompson,0
5346,1,36,20,4454,Ed Jones,0
5346,2,1,51,454,Kyle Busch(i),0
5346,2,2,38,4272,Zane Smith,9
5346,2,3,45,4371,Lawless Alan,8
5346,2,4,52,4205,Stewart Friesen,7
5346,2,5,75,3914,Parker Kligerman(i),6
5346,2,6,13,4366,Hailie Deegan,5
5346,2,7,41,4001,Ross Chastain(i),0
5346,2,8,04,4427,Kaden Honeycutt,3
5346,2,9,99,4107,Ben Rhodes,2
5346,2,10,2,4416,Nick Sanchez #,1
5346,2,11,25,3916,Matt DiBenedetto,0
5346,2,12,98,4235,Ty Majeski,0
5346,2,13,15,4342,Tanner Gray,0
5346,2,14,16,4296,Tyler Ankrum,0
5346,2,15,4,4295,Chase Purdy,0
5346,2,16,23,3978,Grant Enfinger,0
5346,2,17,11,4387,Corey Heim,0
5346,2,18,17,4406,Taylor Gray,0
5346,2,19,1,4191,Kaz Grala(i),0
5346,2,20,35,4423,Jake Garcia #,0
5346,2,21,9,4344,Colby Howard,0
5346,2,22,32,4373,Bret Holmes #,0
5346,2,23,24,4422,Rajah Caruth #,0
5346,2,24,02,4364,Kris Wright,0
5346,2,25,22,4394,Logan Bearden,0
5346,2,26,46,2667,Dale Quarterley,0
5346,2,27,43,4451,Daniel Dye #,0
5346,2,28,30,4310,Colin Garrett,0
5346,2,29,34,4434,Mason Filippi,0
5346,2,30,56,3984,Timmy Hill,0
5346,2,31,19,4268,Christian Eckes,0
5346,2,32,12,4192,Spencer Boyd,0
5346,2,33,88,694,Matt Crafton,0
5346,2,34,42,4326,Carson Hocevar,0
5346,2,35,5,4414,Dean Thompson,0
5346,2,36,20,4454,Ed Jones,0
5347,1,1,11,4387,Corey Heim,10
5347,1,2,51,454,Kyle Busch(i),0
5347,1,3,38,4272,Zane Smith,8
5347,1,4,15,4342,Tanner Gray,7
5347,1,5,19,4268,Christian Eckes,6
5347,1,6,99,4107,Ben Rhodes,5
5347,1,7,98,4235,Ty Majeski,4
5347,1,8,25,3916,Matt DiBenedetto,3
5347,1,9,42,4326,Carson Hocevar,2
5347,1,10,1,4459,William Sawalich,1
5347,1,11,9,4344,Colby Howard,0
5347,1,12,52,4205,Stewart Friesen,0
5347,1,13,35,4423,Jake Garcia #,0
5347,1,14,88,694,Matt Crafton,0
5347,1,15,23,3978,Grant Enfinger,0
5347,1,16,2,4416,Nick Sanchez #,0
5347,1,17,66,4461,Conner Jones,0
5347,1,18,17,4406,Taylor Gray #,0
5347,1,19,32,4373,Bret Holmes #,0
5347,1,20,56,3984,Timmy Hill,0
5347,1,21,02,4364,Kris Wright,0
5347,1,22,5,4414,Dean Thompson,0
5347,1,23,4,4295,Chase Purdy,0
5347,1,24,13,4366,Hailie Deegan,0
5347,1,25,20,4421,Brad Perez(i),0
5347,1,26,46,4460,Memphis Villarreal,0
5347,1,27,41,4001,Ross Chastain(i),0
5347,1,28,16,4296,Tyler Ankrum,0
5347,1,29,45,4371,Lawless Alan,0
5347,1,30,24,4422,Rajah Caruth #,0
5347,1,31,43,4451,Daniel Dye #,0
5347,1,32,12,4192,Spencer Boyd,0
5347,1,33,30,4462,Jonathan Shafer,0
5347,1,34,33,4315,Mason Massey,0
5347,1,35,04,4427,Kaden Honeycutt,0
5347,1,36,22,4443,Stephen Mallozzi,0
5347,2,1,11,4387,Corey Heim,10
5347,2,2,51,454,Kyle Busch(i),0
5347,2,3,38,4272,Zane Smith,8
5347,2,4,19,4268,Christian Eckes,7
5347,2,5,15,4342,Tanner Gray,6
5347,2,6,98,4235,Ty Majeski,5
5347,2,7,99,4107,Ben Rhodes,4
5347,2,8,42,4326,Carson Hocevar,3
5347,2,9,25,3916,Matt DiBenedetto,2
5347,2,10,9,4344,Colby Howard,1
5347,2,11,1,4459,William Sawalich,0
5347,2,12,17,4406,Taylor Gray #,0
5347,2,13,35,4423,Jake Garcia #,0
5347,2,14,66,4461,Conner Jones,0
5347,2,15,2,4416,Nick Sanchez #,0
5347,2,16,41,4001,Ross Chastain(i),0
5347,2,17,32,4373,Bret Holmes #,0
5347,2,18,4,4295,Chase Purdy,0
5347,2,19,23,3978,Grant Enfinger,0
5347,2,20,5,4414,Dean Thompson,0
5347,2,21,52,4205,Stewart Friesen,0
5347,2,22,56,3984,Timmy Hill,0
5347,2,23,88,694,Matt Crafton,0
5347,2,24,02,4364,Kris Wright,0
5347,2,25,20,4421,Brad Perez(i),0
5347,2,26,46,4460,Memphis Villarreal,0
5347,2,27,13,4366,Hailie Deegan,0
5347,2,28,12,4192,Spencer Boyd,0
5347,2,29,43,4451,Daniel Dye #,0
5347,2,30,24,4422,Rajah Caruth #,0
5347,2,31,16,4296,Tyler Ankrum,0
5347,2,32,04,4427,Kaden Honeycutt,0
5347,2,33,30,4462,Jonathan Shafer,0
5347,2,34,22,4443,Stephen Mallozzi,0
5347,2,35,45,4371,Lawless Alan,0
5347,2,36,33,4315,Mason Massey,0
5348,1,1,66,3859,Joey Logano(i),0
5348,1,2,98,4235,Ty Majeski,9
5348,1,3,51,4184,William Byron(i),0
5348,1,4,04,4427,Kaden Honeycutt,7
5348,1,5,88,694,Matt Crafton,6
5348,1,6,13,4366,Hailie Deegan,5
5348,1,7,23,3978,Grant Enfinger,4
5348,1,8,38,4272,Zane Smith,3
5348,1,9,52,4205,Stewart Friesen,2
5348,1,10,75,3914,Parker Kligerman(i),0
5348,1,11,22,4228,Chase Briscoe(i),0
5348,1,12,19,4268,Christian Eckes,0
5348,1,13,11,4387,Corey Heim,0
5348,1,14,2,4416,Nick Sanchez #,0
5348,1,15,25,3916,Matt DiBenedetto,0
5348,1,16,4,4295,Chase Purdy,0
5348,1,17,32,4373,Bret Holmes #,0
5348,1,18,99,4107,Ben Rhodes,0
5348,1,19,24,4422,Rajah Caruth #,0
5348,1,20,5,4414,Dean Thompson,0
5348,1,21,42,4326,Carson Hocevar,0
5348,1,22,15,4342,Tanner Gray,0
5348,1,23,7,4061,Jonathan Davenport(i),0
5348,1,24,35,4423,Jake Garcia #,0
5348,1,25,30,4457,Tanner Carrick,0
5348,1,26,43,4451,Daniel Dye #,0
5348,1,27,02,4364,Kris Wright,0
5348,1,28,6,214,Norm Benning,0
5348,1,29,56,3984,Timmy Hill,0
5348,1,30,12,4192,Spencer Boyd,0
5348,1,31,41,4439,Tyler Carpenter,0
5348,1,32,9,4344,Colby Howard,0
5348,1,33,16,4296,Tyler Ankrum,0
5348,1,34,33,4315,Mason Massey,0
5348,1,35,17,4406,Taylor Gray #,0
5348,1,36,20,4285,Stefan Parsons(i),0
5348,2,1,66,3859,Joey Logano(i),0
5348,2,2,98,4235,Ty Majeski,9
5348,2,3,51,4184,William Byron(i),0
5348,2,4,52,4205,Stewart Friesen,7
5348,2,5,25,3916,Matt DiBenedetto,6
5348,2,6,15,4342,Tanner Gray,5
5348,2,7,88,694,Matt Crafton,4
5348,2,8,38,4272,Zane Smith,3
5348,2,9,22,4228,Chase Briscoe(i),0
5348,2,10,32,4373,Bret Holmes #,1
5348,2,11,99,4107,Ben Rhodes,0
5348,2,12,42,4326,Carson Hocevar,0
5348,2,13,23,3978,Grant Enfinger,0
5348,2,14,4,4295,Chase Purdy,0
5348,2,15,11,4387,Corey Heim,0
5348,2,16,13,4366,Hailie Deegan,0
5348,2,17,04,4427,Kaden Honeycutt,0
5348,2,18,35,4423,Jake Garcia #,0
5348,2,19,7,4061,Jonathan Davenport(i),0
5348,2,20,19,4268,Christian Eckes,0
5348,2,21,5,4414,Dean Thompson,0
5348,2,22,43,4451,Daniel Dye #,0
5348,2,23,24,4422,Rajah Caruth #,0
5348,2,24,56,3984,Timmy Hill,0
5348,2,25,12,4192,Spencer Boyd,0
5348,2,26,6,214,Norm Benning,0
5348,2,27,30,4457,Tanner Carrick,0
5348,2,28,2,4416,Nick Sanchez #,0
5348,2,29,9,4344,Colby Howard,0
5348,2,30,41,4439,Tyler Carpenter,0
5348,2,31,75,3914,Parker Kligerman(i),0
5348,2,32,02,4364,Kris Wright,0
5348,2,33,16,4296,Tyler Ankrum,0
5348,2,34,33,4315,Mason Massey,0
5348,2,35,17,4406,Taylor Gray #,0
5348,2,36,20,4285,Stefan Parsons(i),0
5353,1,1,19,4268,Christian Eckes,10
5353,1,2,11,4387,Corey Heim,9
5353,1,3,25,3916,Matt DiBenedetto,8
5353,1,4,51,4184,William Byron(i),7
5353,1,5,23,3978,Grant Enfinger,6
5353,1,6,42,4326,Carson Hocevar,5
5353,1,7,52,4205,Stewart Friesen,4
5353,1,8,1,4025,Bubba Wallace(i),0
5353,1,9,2,4416,Nick Sanchez #,2
5353,1,10,4,4295,Chase Purdy,1
5353,1,11,75,3914,Parker Kligerman(i),0
5353,1,12,35,4423,Jake Garcia #,0
5353,1,13,17,4406,Taylor Gray #,0
5353,1,14,24,4422,Rajah Caruth #,0
5353,1,15,41,4001,Ross Chastain(i),0
5353,1,16,56,3984,Timmy Hill,0
5353,1,17,9,4344,Colby Howard,0
5353,1,18,88,694,Matt Crafton,0
5353,1,19,16,4296,Tyler Ankrum,0
5353,1,20,5,4414,Dean Thompson,0
5353,1,21,20,4427,Kaden Honeycutt,0
5353,1,22,98,4235,Ty Majeski,0
5353,1,23,7,4096,Corey LaJoie(i),0
5353,1,24,43,4451,Daniel Dye #,0
5353,1,25,38,4272,Zane Smith,0
5353,1,26,15,4342,Tanner Gray,0
5353,1,27,99,4107,Ben Rhodes,0
5353,1,28,30,4320,Ryan Vargas,0
5353,1,29,13,4366,Hailie Deegan,0
5353,1,30,45,4371,Lawless Alan,0
5353,1,31,04,2911,Johnny Sauter,0
5353,1,32,32,4373,Bret Holmes #,0
5353,1,33,12,4192,Spencer Boyd,0
5353,1,34,02,4364,Kris Wright,0
5353,1,35,47,4256,Dawson Cram(i),0
5353,1,36,46,4144,Brennan Poole(i),0
5353,2,1,51,4184,William Byron(i),10
5353,2,2,11,4387,Corey Heim,9
5353,2,3,19,4268,Christian Eckes,8
5353,2,4,42,4326,Carson Hocevar,7
5353,2,5,1,4025,Bubba Wallace(i),0
5353,2,6,35,4423,Jake Garcia #,5
5353,2,7,52,4205,Stewart Friesen,4
5353,2,8,23,3978,Grant Enfinger,3
5353,2,9,56,3984,Timmy Hill,2
5353,2,10,17,4406,Taylor Gray #,1
5353,2,11,24,4422,Rajah Caruth #,0
5353,2,12,41,4001,Ross Chastain(i),0
5353,2,13,5,4414,Dean Thompson,0
5353,2,14,16,4296,Tyler Ankrum,0
5353,2,15,9,4344,Colby Howard,0
5353,2,16,2,4416,Nick Sanchez #,0
5353,2,17,15,4342,Tanner Gray,0
5353,2,18,88,694,Matt Crafton,0
5353,2,19,20,4427,Kaden Honeycutt,0
5353,2,20,38,4272,Zane Smith,0
5353,2,21,7,4096,Corey LaJoie(i),0
5353,2,22,99,4107,Ben Rhodes,0
5353,2,23,43,4451,Daniel Dye #,0
5353,2,24,4,4295,Chase Purdy,0
