race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
1,124,1,17,Marco Andretti*,Group 1001 Chevrolet,48.6,185.185,12,13,0
1,116,2,8,Patrick Emerling,Southern Tier Security Ford,48.601,185.181,6,7,0.001
1,127,3,3,Willie Mullins,Corvetteparts.net/Crow Wing Recycling Ford,48.676,184.896,2,3,0.076
1,137,4,15,Kris Wright,F.N.B Corporation Toyota,48.718,184.737,3,4,0.118
1,132,5,4,Dale Quarterley,Van Dyk Recycling Services/Motul Arai Chevrolet,48.718,184.737,4,5,0.118
1,110,6,20,Jake Finch*,Phoenix Construction Toyota,48.719,184.733,3,3,0.119
1,100,7,55,Gus Dean,Dean Custom Air Toyota,48.733,184.68,3,3,0.133
1,108,8,22,Amber Balcaen,ICON Direct Toyota,48.792,184.456,7,7,0.192
1,136,9,25,Toni Breidinger,Celsius Toyota,48.84,184.275,2,3,0.24
1,139,10,10,Ed Pompa,HYTORC of New York/Double H Ranch Chevrolet,49.295,182.574,9,10,0.695
1,131,11,30,Justin Bonsignore*,Hard Rock Bet,49.309,182.522,9,10,0.709
1,114,12,6,Lavar Scott*,Max Siegel Inc Chevrolet,49.456,181.98,7,12,0.856
1,128,13,28,Shane Van Gisbergen*,Pinnacle Motorsports Chevrolet,49.512,181.774,7,10,0.912
1,109,14,73,Andy Jankowiak,V1 Fiber Ford,49.516,181.759,8,12,0.916
1,123,15,18,Tanner Gray,Dead On Tools Toyota,49.527,181.719,7,13,0.927
1,105,16,97,Jason Kitzmiller,A.L.L Construction Chevrolet,49.528,181.715,9,16,0.928
1,113,17,62,Steve Lewis Jr.*,Telco Construction/Jeffery Machine Chevrolet,49.805,180.705,8,11,1.205
1,111,18,2,Andres Perez,Max Siegal Inc Chevrolet,49.81,180.687,8,9,1.21
1,115,19,36,Ryan Huff,Southeastern Services Ford,50.051,179.817,14,19,1.451
1,134,20,93,Caleb Costner*,Lickety Lew’s/Heritage Water Systems Chevrolet,50.142,179.49,5,9,1.542
1,130,21,2,Leland Honeyman Jr.*,Young’s Motorsports Chevrolet,50.312,178.884,17,19,1.712
1,112,22,13,Armani Williams,Blue Sprig Toyota,50.471,178.32,17,20,1.871
1,135,23,7,Jeff Scofield*,JXT Transport Chevrolet,50.552,178.034,6,11,1.952
1,106,24,68,Gil Linster*,HOOSH.com Ford,50.581,177.932,7,11,1.981
1,138,25,63,John Aramendia*,1st Call Plumbing Heating & Air Chevrolet,50.594,177.887,10,14,1.994
1,103,26,32,Christian Rose,West Virgina Tourism Ford,50.677,177.595,6,8,2.077
1,117,27,34,Isaac Johnson*,Endress+Hauser Ford,50.681,177.581,7,9,2.081
1,126,28,69,Scott Melton,Melton McFadden Insuracne/Donna’s Donuts Ford,50.684,177.571,10,16,2.084
1,140,29,7,Eric Caudell,RYDIN/Coble Enterprises/Red Tine Canopies Toyota,50.714,177.466,6,8,2.114
1,102,30,35,Greg Van Alst,Zaki Ali Injury & Criminal Attorney ZakiAli.com,50.732,177.403,5,5,2.132
