race_id,driver_id,BestLapRank,Number,FullName,Sponsor,BestLapTime,BestLapSpeed,InLap,Laps,Diff
1,127,1,3,Willie Mullins,Corvetteparts.net/Crow Wing Recycling Ford,48.982,183.741,1,2,0
1,104,2,27,Tim Richmond,Richmond Racing Toyota,49.003,183.662,1,3,0.021
1,110,3,20,Jake Finch*,Phoenix Construction Toyota,49.024,183.584,1,3,0.042
1,136,4,25,Toni Breidinger,Celsius Toyota,49.044,183.509,1,3,0.062
1,115,5,36,Ryan Huff,Southeastern Services Ford,49.06,183.449,1,3,0.078
1,131,6,30,Justin Bonsignore*,Hard Rock Bet,49.108,183.27,1,3,0.126
1,106,7,68,Gil Linster*,HOOSH.com Ford,49.703,181.076,3,3,0.721
1,143,8,75,Bryan Dauzat,Brother-in-Law Racing Chevrolet,49.708,181.057,2,3,0.726
1,117,9,34,Isaac Johnson*,Endress+Hauser Ford,49.734,180.963,2,3,0.752
1,105,10,97,Jason Kitzmiller,A.L.L Construction Chevrolet,49.735,180.959,1,3,0.753
1,137,11,15,Kris Wright,F.N.B Corporation Toyota,49.738,180.948,2,3,0.756
1,125,12,11,Bryce Haugeberg*,Karcher/Brenco Toyota,49.741,180.937,1,3,0.759
1,111,13,2,Andres Perez,Max Siegal Inc Chevrolet,49.743,180.93,1,3,0.761
1,135,14,7,Jeff Scofield*,JXT Transport Chevrolet,49.787,180.77,2,3,0.805
1,123,15,18,Tanner Gray,PlaceOfHope.com Toyota,49.795,180.741,2,3,0.813
1,132,16,4,Dale Quarterley,Van Dyk Recycling Services/Motul Arai Chevrolet,49.797,180.734,2,3,0.815
1,140,17,7,Eric Caudell,RYDIN/Coble Enterprises/Red Tine Canopies Toyota,49.805,180.705,2,3,0.823
1,134,18,93,Caleb Costner*,Lickety Lew’s/Heritage Water Systems Chevrolet,49.806,180.701,2,3,0.824
1,101,19,44,Thomas Annunziata*,Nerd Focus Chevrolet,49.822,180.643,3,3,0.84
1,103,20,32,Christian Rose,West Virgina Tourism Ford,49.825,180.632,2,3,0.843
1,129,21,8,Sean Corr,Empire Racing Chevrolet,49.841,180.574,2,3,0.859
1,102,22,35,Greg Van Alst,Zaki Ali Injury & Criminal Attorney ZakiAli.com,49.845,180.56,2,3,0.863
1,113,23,62,Steve Lewis Jr.*,Telco Construction/Jeffery Machine Chevrolet,49.86,180.505,2,3,0.878
1,116,24,8,Patrick Emerling,Southern Tier Security Ford,49.951,180.177,2,3,0.969
1,100,25,55,Gus Dean,Dean Custom Air Toyota,49.975,180.09,2,3,0.993
1,124,26,17,Marco Andretti*,Group 1001 Chevrolet,49.987,180.047,2,3,1.005
1,112,27,13,Armani Williams,Blue Sprig Toyota,50.029,179.896,2,3,1.047
1,108,28,22,Amber Balcaen,ICON Direct Toyota,50.31,178.891,3,3,1.328
1,138,29,63,John Aramendia*,1st Call Plumbing Heating & Air Chevrolet,50.311,178.887,2,3,1.329
1,126,30,69,Scott Melton,Melton McFadden Insuracne/Donna’s Donuts Ford,50.313,178.88,3,3,1.331
1,133,31,74,Mandy Chick*,Dynamic Drivelines/FK Rod Ends/Fragola Perf Chevrolet,50.398,178.579,3,3,1.416
