race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5146,DAYTONA 500,200,201,4180,5,2,1,7,6,1,33,6.21,168,-13,181,125,0,176,21,201,122.38
5146,DAYTONA 500,200,201,4025,16,19,2,3,1,1,23,10.22,253,16,237,191,7,145,12,201,104.71
5146,DAYTONA 500,200,201,4228,9,10,3,15,12,3,38,18.26,209,17,192,70,6,88,0,201,75
5146,DAYTONA 500,200,201,4023,7,1,4,9,5,1,35,8.29,163,-18,181,134,3,175,36,201,107.47
5146,DAYTONA 500,200,201,40,38,11,5,18,13,3,38,15.87,244,8,236,97,4,104,0,201,80.27
5146,DAYTONA 500,200,201,454,10,20,6,5,-1,1,29,11.37,255,9,246,182,5,125,28,201,101.43
5146,DAYTONA 500,200,201,3832,6,8,7,11,4,4,32,11.94,222,-19,241,160,2,144,0,201,93.55
5146,DAYTONA 500,200,201,2674,34,29,8,20,12,2,38,25.2,110,-9,119,8,6,18,0,201,63.67
5146,DAYTONA 500,200,201,1816,3,5,9,12,3,1,23,4.82,171,1,170,148,4,198,67,201,121.29
5146,DAYTONA 500,200,201,4062,11,23,10,13,3,2,26,16.09,249,-2,251,131,6,93,0,201,72.5
5146,DAYTONA 500,200,201,4013,26,9,11,16,5,5,33,16.31,210,-20,230,62,3,102,0,201,77.66
5146,DAYTONA 500,200,201,4093,33,24,12,19,7,2,40,26.41,96,-2,98,28,7,20,0,201,60.63
5146,DAYTONA 500,200,201,3368,14,18,13,14,1,1,23,11.94,258,25,233,192,4,143,11,201,94
5146,DAYTONA 500,200,201,4096,24,25,14,22,8,1,36,25.18,92,-4,96,0,2,7,0,201,57.23
5146,DAYTONA 500,200,201,3808,27,27,15,21,6,3,38,28.04,71,-2,73,2,2,8,0,201,51.73
5146,DAYTONA 500,200,201,3989,4,3,16,2,-14,1,34,7.87,161,-13,174,136,1,173,0,200,97.44
5146,DAYTONA 500,200,201,4125,32,28,17,23,6,12,39,27.12,57,-22,79,0,4,0,0,200,48.62
5146,DAYTONA 500,200,201,4113,21,22,18,24,6,5,32,21.33,156,-27,183,65,4,30,0,199,58.95
5146,DAYTONA 500,200,201,453,17,21,19,27,8,1,30,17.63,201,21,180,116,11,80,0,199,74.55
5146,DAYTONA 500,200,201,4104,31,7,20,25,5,3,37,22.29,127,-17,144,22,3,47,0,199,55.17
5146,DAYTONA 500,200,201,3859,20,12,21,29,8,1,34,17.65,244,50,194,79,8,80,1,198,83.55
5146,DAYTONA 500,200,201,3823,40,30,22,26,4,4,40,29.48,50,-5,55,0,6,2,0,198,42.69
5146,DAYTONA 500,200,201,4172,25,31,23,28,5,2,38,30.8,67,-5,72,4,2,2,0,198,41.39
5146,DAYTONA 500,200,201,4045,2,34,24,31,7,2,36,27.12,132,-5,137,73,6,34,0,197,65.83
5146,DAYTONA 500,200,201,3873,36,26,25,30,5,2,37,27.14,139,7,132,14,3,10,1,197,43.01
5146,DAYTONA 500,200,201,4191,35,33,26,33,7,24,39,33.43,52,-4,56,0,1,0,0,196,35.78
5146,DAYTONA 500,200,201,3973,37,32,27,32,5,7,38,32.34,51,-6,57,0,2,2,0,196,35.73
5146,DAYTONA 500,200,201,3888,18,15,28,1,-27,1,31,11.25,248,18,230,192,6,153,16,194,93.89
5146,DAYTONA 500,200,201,4059,13,17,29,10,-19,1,30,12.13,216,-21,237,138,6,125,3,191,81.01
5146,DAYTONA 500,200,201,1416,22,4,30,8,-22,1,33,13.67,212,-30,242,96,3,123,0,191,72.84
5146,DAYTONA 500,200,201,4224,39,14,31,17,-14,3,39,18.93,228,43,185,45,4,74,0,190,52.78
5146,DAYTONA 500,200,201,4030,1,13,32,4,-28,1,24,12.98,261,-13,274,184,7,149,1,190,81.23
5146,DAYTONA 500,200,201,4231,29,6,33,6,-27,1,34,14.03,227,7,220,120,2,134,0,190,69.89
5146,DAYTONA 500,200,201,4153,12,35,34,35,1,2,35,25.85,105,4,101,102,0,62,0,152,71.33
5146,DAYTONA 500,200,201,4065,15,16,35,34,-1,4,31,21.54,181,4,177,70,4,56,0,151,54.4
5146,DAYTONA 500,200,201,243,28,40,36,36,0,25,40,37.52,39,-11,50,0,1,0,0,136,27.49
5146,DAYTONA 500,200,201,1361,30,36,37,37,0,1,30,28.56,121,21,100,59,1,39,0,63,54.51
5146,DAYTONA 500,200,201,4184,23,37,38,38,0,1,28,30.28,141,17,124,44,5,29,1,62,46.42
5146,DAYTONA 500,200,201,4217,8,38,39,39,0,1,24,30.26,130,2,128,68,1,38,3,62,50.89
5146,DAYTONA 500,200,201,4001,19,39,40,40,0,1,29,32.43,145,2,143,56,3,27,0,62,41.88
5147,Wise Power 400,200,200,4030,13,3,1,2,1,1,25,7.05,83,24,59,63,16,183,28,200,116.32
5147,Wise Power 400,200,200,3873,16,12,2,3,1,2,31,15.59,97,-22,119,52,3,118,0,200,82.93
5147,Wise Power 400,200,200,4059,2,7,3,6,3,1,12,4.28,72,13,59,64,23,200,18,200,122.7
5147,Wise Power 400,200,200,4113,15,26,4,4,0,1,31,14.45,96,-3,99,54,0,115,0,200,86.17
5147,Wise Power 400,200,200,3859,7,4,5,1,-4,1,20,5.36,87,32,55,66,5,198,14,200,110.31
5147,Wise Power 400,200,200,40,31,13,6,19,13,5,31,16.71,94,-24,118,48,1,110,0,200,76.98
5147,Wise Power 400,200,200,1416,32,21,7,8,1,1,32,20.02,106,23,83,15,0,43,1,200,64.67
5147,Wise Power 400,200,200,453,36,22,8,9,1,5,36,21.27,133,27,106,42,0,60,0,200,63.5
5147,Wise Power 400,200,200,4093,5,34,9,12,3,5,35,26.18,58,13,45,28,2,45,0,200,72.3
5147,Wise Power 400,200,200,3888,17,18,10,10,0,2,22,10.96,121,20,101,71,1,159,0,200,91.14
5147,Wise Power 400,200,200,4104,21,10,11,18,7,3,26,12.89,75,-28,103,49,0,134,0,200,83.33
5147,Wise Power 400,200,200,4180,1,8,12,14,2,1,25,9.69,86,-14,100,61,1,179,0,200,94.31
5147,Wise Power 400,200,200,3368,12,28,13,16,3,4,30,15.03,91,-7,98,34,1,98,0,200,77.31
5147,Wise Power 400,200,200,454,3,33,14,26,12,3,36,28.58,56,4,52,8,2,21,0,200,58.95
5147,Wise Power 400,200,200,1361,4,24,15,5,-10,3,31,10.32,110,8,102,70,0,169,0,200,89.83
5147,Wise Power 400,200,200,4228,24,5,16,15,-1,1,31,14.32,109,-3,112,43,9,91,20,200,82.08
5147,Wise Power 400,200,200,4013,18,23,17,17,0,11,32,23.17,99,-38,137,1,0,6,0,200,46.5
5147,Wise Power 400,200,200,4023,6,6,18,7,-11,1,18,6.92,119,60,59,102,8,189,1,200,97.64
5147,Wise Power 400,200,200,4025,34,25,19,22,3,9,34,25.17,72,3,69,5,0,2,0,200,42.83
