race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5343,NextEra Energy 250,100,79,4272,15,19,1,1,0,1,32,12.18,61,8,53,31,6,41,17,79,116.11
5343,NextEra Energy 250,100,79,4342,19,33,2,2,0,2,33,14.87,73,15,58,48,3,44,0,79,106.59
5343,NextEra Energy 250,100,79,4268,4,5,3,3,0,1,16,4.98,81,18,63,77,1,78,19,79,116.37
5343,NextEra Energy 250,100,79,4344,21,11,4,4,0,1,34,13.5,53,-5,58,24,2,36,2,79,84.69
5343,NextEra Energy 250,100,79,3978,16,6,5,5,0,4,28,10.2,103,16,87,102,1,72,0,79,97.8
5343,NextEra Energy 250,100,79,4235,2,12,6,6,0,1,27,10.29,92,7,85,82,0,68,2,79,97.8
5343,NextEra Energy 250,100,79,4296,27,2,7,7,0,1,36,9.87,73,14,59,47,1,59,15,79,99.54
5343,NextEra Energy 250,100,79,4387,13,22,8,8,0,2,31,13.25,66,-3,69,47,2,50,0,79,89.42
5343,NextEra Energy 250,100,79,694,6,8,9,9,0,1,21,6.21,81,1,80,79,0,76,2,79,98.76
5343,NextEra Energy 250,100,79,4062,14,20,10,10,0,4,27,11.79,73,-14,87,66,0,58,0,79,90.83
5343,NextEra Energy 250,100,79,4107,26,3,11,11,0,2,31,13.74,109,28,81,87,0,58,0,79,85.33
5343,NextEra Energy 250,100,79,4326,9,9,12,12,0,3,26,11.39,81,-2,83,69,2,68,0,79,86.26
5343,NextEra Energy 250,100,79,4024,25,14,13,13,0,4,34,16.86,51,-13,64,34,0,51,0,79,63.17
5343,NextEra Energy 250,100,79,4441,20,28,14,14,0,8,32,18.51,49,5,44,27,1,37,0,79,75.46
5343,NextEra Energy 250,100,79,3557,7,24,15,15,0,6,35,20.82,27,-11,38,6,2,24,0,79,58.42
5343,NextEra Energy 250,100,79,3984,32,21,16,16,0,2,36,20.96,49,14,35,2,2,10,0,79,66.42
5343,NextEra Energy 250,100,79,4295,10,4,17,17,0,1,35,16.69,56,8,48,32,0,27,1,79,62
5343,NextEra Energy 250,100,79,4297,11,25,18,20,2,4,36,23.41,16,-28,44,2,0,9,0,79,54
5343,NextEra Energy 250,100,79,4102,34,30,19,21,2,12,36,28.2,9,3,6,0,0,2,0,79,41.5
5343,NextEra Energy 250,100,79,3916,8,27,20,22,2,2,33,14.45,57,1,56,44,0,39,0,79,79.83
5343,NextEra Energy 250,100,79,4292,36,32,21,24,3,15,36,28.01,4,-26,30,0,0,1,0,79,37.67
5343,NextEra Energy 250,100,79,4364,30,26,22,26,4,8,36,26.32,12,-22,34,0,0,5,0,79,45.5
5343,NextEra Energy 250,100,79,4096,5,18,23,23,0,1,33,14.2,68,15,53,31,2,38,19,79,81.33
5343,NextEra Energy 250,100,79,4315,35,31,24,25,1,14,35,28.16,6,-12,18,0,0,1,0,79,35.83
5343,NextEra Energy 250,100,79,4408,33,23,25,27,2,5,35,24.21,22,-20,42,0,1,6,0,79,51.31
5343,NextEra Energy 250,100,79,4416,1,10,26,19,-7,1,25,12.73,62,-6,68,54,0,44,0,79,64.83
5343,NextEra Energy 250,100,79,4391,3,15,27,18,-9,1,26,13.7,70,-10,80,67,0,52,0,79,63.83
5343,NextEra Energy 250,100,79,4205,23,1,28,28,0,1,32,20.37,45,4,41,32,0,26,2,74,48.51
5343,NextEra Energy 250,100,79,4422,17,17,29,29,0,6,31,19.97,68,2,66,42,0,17,0,57,68.33
5343,NextEra Energy 250,100,79,4451,29,29,30,30,0,6,35,25.22,47,2,45,20,1,11,0,57,57.09
5343,NextEra Energy 250,100,79,4373,22,16,31,31,0,12,31,23.53,42,3,39,18,1,14,0,49,45.13
5343,NextEra Energy 250,100,79,3914,24,7,32,32,0,2,34,23.27,46,-4,50,21,0,19,0,45,37.17
5343,NextEra Energy 250,100,79,4287,28,13,33,33,0,7,36,29.4,32,-3,35,12,0,3,0,39,30.17
5343,NextEra Energy 250,100,79,3936,31,34,34,34,0,10,31,28.75,38,12,26,17,0,7,0,28,39
5343,NextEra Energy 250,100,79,4366,12,35,35,35,0,2,21,25.62,40,4,36,32,0,22,0,28,68.5
5343,NextEra Energy 250,100,79,4414,18,36,36,36,0,10,34,30.18,21,-3,24,11,2,12,0,28,46.86
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,454,1,2,1,1,0,1,31,3.64,56,21,35,36,30,127,84,134,148.83
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4272,7,12,2,2,0,1,23,5.34,56,12,44,48,15,128,8,134,122.07
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4107,9,8,3,3,0,1,22,5.39,74,16,58,67,8,132,2,134,116.27
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4387,15,4,4,4,0,3,25,8.6,88,10,78,59,3,114,0,134,106.04
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4235,4,19,5,6,1,1,27,8.3,81,19,62,51,13,120,0,134,107.97
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4268,12,3,6,5,-1,2,27,7.5,86,11,75,53,4,109,0,134,108.88
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4326,8,10,7,7,0,1,23,7.34,85,18,67,65,3,126,19,134,98.43
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4295,3,13,8,8,0,2,23,10.27,89,13,76,67,5,116,0,134,94.73
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,3978,17,14,9,9,0,1,26,11.61,74,6,68,56,6,114,3,134,87.41
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4423,14,11,10,10,0,7,26,13.75,78,-10,88,46,1,87,0,134,81.34
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,694,11,15,11,11,0,3,21,10.72,80,11,69,65,1,127,0,134,85.84
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,3916,19,18,12,12,0,2,23,12.05,94,21,73,51,0,102,0,133,83.5
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4342,16,5,13,13,0,1,28,11.87,79,11,68,46,0,101,0,133,76.67
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4205,22,17,14,14,0,7,34,18.76,72,-21,93,19,3,51,0,133,68.55
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4296,18,9,15,17,2,6,29,18.9,101,-14,115,24,0,26,0,133,61.17
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4414,25,7,16,16,0,4,29,15.31,67,-4,71,24,0,44,0,133,68.33
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4191,10,1,17,18,1,1,30,12.42,62,-14,76,28,1,80,5,133,83.71
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4344,27,20,18,15,-3,5,31,18.91,70,-4,74,12,1,27,0,133,58.68
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4451,20,24,19,19,0,1,34,22.93,39,-29,68,9,0,14,5,132,58.27
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4371,21,26,20,20,0,11,31,22.27,61,-2,63,1,0,4,0,132,51.17
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4429,30,22,21,21,0,8,30,21.69,73,9,64,9,1,11,0,131,48.68
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,3984,26,21,22,22,0,3,31,23.81,58,-22,80,6,0,8,0,131,45.67
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4192,31,25,23,23,0,14,33,25.99,42,-9,51,4,0,2,0,130,37
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4001,23,6,24,26,2,3,30,19.65,79,-1,80,27,0,43,0,130,52.17
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4427,29,29,25,25,0,18,32,26.21,47,4,43,0,0,0,0,130,42.5
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4209,35,28,26,24,-2,15,35,27.14,28,-8,36,0,0,1,0,129,35.5
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4315,32,27,27,27,0,14,33,26.75,33,6,27,0,0,2,0,129,37.5
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4364,28,30,28,28,0,1,32,27.7,31,-5,36,0,0,0,0,126,37.67
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4422,24,16,29,29,0,3,29,16.43,69,10,59,38,1,75,0,122,60.7
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4416,2,23,30,30,0,1,32,21.11,37,-34,71,18,3,34,8,103,66.65
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4092,13,31,31,31,0,2,31,23.01,60,23,37,34,1,45,0,98,49.61
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4366,5,32,32,32,0,5,29,25.41,30,-24,54,14,0,29,0,59,45.83
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4144,34,33,33,33,0,24,34,32.22,9,5,4,0,0,0,0,20,26.17
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4373,6,34,34,34,0,6,34,31.88,6,-27,33,6,0,11,0,16,34.5
5344,Victoria's Voice Foundation 200 presented by Westgate Resorts,134,134,4102,33,35,35,35,0,33,35,35,0,0,0,0,0,0,0,4,23.17
5345,Fr8 208,135,137,4268,4,15,1,3,2,1,28,10.02,70,17,53,52,4,105,35,137,109.01
5345,Fr8 208,135,137,4416,20,23,2,1,-1,1,30,14.54,89,33,56,39,7,70,11,137,99.14
5345,Fr8 208,135,137,4092,24,1,3,5,2,1,24,5.29,57,15,42,38,7,127,53,137,125.63
5345,Fr8 208,135,137,4257,30,17,4,7,3,2,30,12.91,67,-7,74,50,4,90,0,137,84.46
5345,Fr8 208,135,137,4107,3,10,5,2,-3,1,22,6.24,57,5,52,55,0,135,3,137,107.62
5345,Fr8 208,135,137,3916,10,2,6,9,3,1,23,8.41,62,-5,67,46,4,121,0,137,96.8
5345,Fr8 208,135,137,4295,9,7,7,6,-1,2,30,9.42,52,-2,54,31,2,107,0,137,84.4
5345,Fr8 208,135,137,3984,18,22,8,14,6,1,27,20.65,25,-7,32,11,0,22,2,137,60.83
5345,Fr8 208,135,137,694,8,9,9,20,11,1,26,7.68,44,4,40,31,0,107,29,137,109.79
5345,Fr8 208,135,137,4391,17,18,10,21,11,1,28,15.97,55,-9,64,31,1,59,2,137,69.23
5345,Fr8 208,135,137,4235,2,13,11,12,1,1,19,8.48,43,-7,50,39,1,133,0,137,101.45
5345,Fr8 208,135,137,4366,32,25,12,13,1,11,34,20.17,53,-10,63,14,1,34,0,137,58.45
