race_id,Title,BestLapRank,Number,driver_id,FullName,Manufacturer,Sponsor,BestLapTime,OverAllAvg,OverAllAvgRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank
5343,Final Practice,1,24,4422,Rajah Caruth #,Chv,Wendell Scott Foundation,47.76,48.5918333,1,48.18,2,999,,999,,999,,999,,999,
5343,Final Practice,2,19,4268,Christian Eckes,Chv,NAPA AutoCare,47.774,48.6449231,2,48.177,1,48.526,1,999,,999,,999,,999,
5343,Final Practice,5,4,4295,Chase Purdy,Chv,Bama Buggies,47.957,48.6939231,3,48.182,3,48.562,3,999,,999,,999,,999,
5343,Final Practice,6,2,4416,Nick Sanchez #,Chv,Gainbridge,47.99,48.6993846,4,48.361,5,48.552,2,999,,999,,999,,999,
5343,Final Practice,27,11,4387,Corey Heim,Tyt,Safelite,48.679,48.9006667,5,48.879,14,999,,999,,999,,999,,999,
5343,Final Practice,4,75,3914,Parker Kligerman(i),Chv,Purina/Food Country USA,47.942,48.9154,6,999,,999,,999,,999,,999,,999,
5343,Final Practice,12,41,4024,Travis Pastrana(i),Chv,Worldwide Express/BRCC,48.444,49.0935556,7,48.634,9,999,,999,,999,,999,,999,
5343,Final Practice,14,32,4373,Bret Holmes #,Chv,Pate Holdings,48.464,49.1793077,8,48.582,6,49.027,5,999,,999,,999,,999,
5343,Final Practice,26,15,4342,Tanner Gray,Tyt,Dead On Tools,48.676,49.2122,9,48.859,13,999,,999,,999,,999,,999,
5343,Final Practice,21,16,4296,Tyler Ankrum,Tyt,LiUNA!,48.588,49.3022222,10,49.004,18,999,,999,,999,,999,,999,
5343,Final Practice,24,1,3557,Jason A White,Tyt,Celsius,48.66,49.313,11,48.888,15,999,,999,,999,,999,,999,
5343,Final Practice,25,5,4414,Dean Thompson,Tyt,Thompson Pipe Group,48.663,49.3415,12,48.835,12,999,,999,,999,,999,,999,
5343,Final Practice,17,42,4326,Carson Hocevar,Chv,Worldwide Express,48.505,49.38,13,48.633,8,999,,999,,999,,999,,999,
5343,Final Practice,3,51,4391,Jack Wood,Chv,Eberlestock,47.924,49.38285,14,48.184,4,48.573,4,999,,999,,999,,999,
5343,Final Practice,16,45,4371,Lawless Alan,Chv,AUTODockit,48.479,49.3898889,15,48.629,7,999,,999,,999,,999,,999,
5343,Final Practice,9,7,4096,Corey LaJoie(i),Chv,Schluter Systems,48.275,49.4963333,16,999,,999,,999,,999,,999,,999,
5343,Final Practice,19,23,3978,Grant Enfinger,Chv,Champion Power Equipment,48.544,49.5119286,17,49.062,19,49.283,7,999,,999,,999,,999,
5343,Final Practice,8,52,4205,Stewart Friesen,Tyt,Aim Autism/Halmar,48.059,49.51825,18,48.751,10,999,,999,,999,,999,,999,
5343,Final Practice,13,35,4062,Chase Elliott(i),Chv,Gates Hydraulics,48.462,49.53575,19,49.097,20,49.283,6,999,,999,,999,,999,
5343,Final Practice,11,98,4235,Ty Majeski,Frd,Road Ranger,48.349,49.6280769,20,48.795,11,49.344,8,999,,999,,999,,999,
5343,Final Practice,29,38,4272,Zane Smith,Frd,Love's/Speedco,49.071,49.7841,21,49.302,23,999,,999,,999,,999,,999,
5343,Final Practice,23,30,4408,Chris Hacker,Tyt,Morgan & Morgan P.A.,48.657,49.8108889,22,48.905,16,999,,999,,999,,999,,999,
