race_id,race_season,race_name,track_name,race_date,finishing_position,starting_position,car_number,driver_fullname,driver_id,team_name,car_make,sponsor,crew_chief_fullname,laps_completed,finishing_status,laps_led,times_led,points_earned,diff_laps,diff_time,playoff_points_earned,points_position,points_delta,disqualified,qualifying_order,qualifying_position,qualifying_speed,track_type,track_length
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,42,42,46,Norm Benning,214,G2G Racing,Toyota,Middle Department Inspection Agency,Tim Silva,0,,0,0,0,0,0,0,42,0,FALSE,32,42,174.476,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,39,39,96,Todd Peck,3997,Peck Motorsports,Toyota,TBD ,Francis Fuhrman,0,,0,0,0,0,0,0,39,0,FALSE,39,39,175.48,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,38,38,28,Bryan Dauzat,4127,FDNY Racing,Chevrolet,FDNY/OB Builders,Jim Rosenblum,0,,0,0,0,0,0,0,38,0,FALSE,21,38,175.483,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,40,40,12,Spencer Boyd,4192,Young's Motorsports,Chevrolet,Freedom Warranty,Bradley Means,0,,0,0,0,0,0,0,40,0,FALSE,10,40,174.795,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,37,37,45,Lawless Alan,4371,Niece Motorsports,Chevrolet,AUTODockit,Wally Rogers,0,,0,0,0,0,0,0,37,0,FALSE,31,37,175.754,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,41,41,04,Kaden Honeycutt,4427,Roper Racing,Ford,FlyAlliance\Car Quest,Craig Roper,0,,0,0,0,0,0,0,41,0,FALSE,4,41,174.703,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,1,15,38,Zane Smith,4272,Front Row Motorsports,Ford,Love's / Speedco,Chris Lawson,79,Running,17,3,40,0,0,5,4,0,FALSE,27,15,178.034,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,2,19,15,Tanner Gray,4342,TRICON Garage,Toyota,Dead On Tools,Jerame Donley,79,Running,0,0,38,0,510,0,6,0,FALSE,12,19,177.585,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,3,4,19,Christian Eckes,4268,McAnally Hilgemann Racing,Chevrolet,NAPA AUTOCARE,Charles Denike,79,Running,19,4,50,0,754,1,1,0,FALSE,15,4,179.695,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,4,21,9,Colby Howard,4344,CR7 Motorsports,Chevrolet,Grant County Mulch,Doug George,79,Running,2,1,33,0,1079,0,8,0,FALSE,8,21,177.532,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,5,16,23,Grant Enfinger,3978,GMS Racing,Chevrolet,Champion Power Equipment,Jeff Hensley,79,Running,0,0,36,0,1744,0,7,0,FALSE,18,16,178.01,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,6,2,98,Ty Majeski,4235,ThorSport Racing,Ford,Road Ranger,Joe Shear Jr.,79,Running,2,2,41,0,1998,0,3,0,FALSE,41,2,180.785,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,7,27,16,Tyler Ankrum,4296,Hattori Racing Enterprises,Toyota,LiUNA!,Doug Randolph,79,Running,15,3,40,0,2765,1,5,0,FALSE,13,27,176.436,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,8,13,11,Corey Heim,4387,TRICON Garage,Toyota,Safelite,Scott Zipadelli,79,Running,0,0,29,0,3354,0,11,0,FALSE,9,13,178.151,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,9,6,88,Matt Crafton,694,ThorSport Racing,Ford,Mold-Armor/Menards,Shane Wilson,79,Running,2,1,45,0,3802,0,2,0,FALSE,38,6,178.966,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,10,14,35,Chase Elliott,4062,McAnally Hilgemann Racing,Chevrolet,Gates Hydraulics,Mark Hillman,79,Running,0,0,0,0,4173,0,32,0,FALSE,26,14,178.119,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,11,26,99,Ben Rhodes,4107,ThorSport Racing,Ford,Clarks Pump-N-Shop,Jeriod Prince,79,Running,0,0,30,0,4593,0,9,0,FALSE,42,26,176.949,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,12,9,42,Carson Hocevar,4326,Niece Motorsports,Chevrolet,Worldwide Express,Phil Gould,79,Running,0,0,30,0,5108,0,10,0,FALSE,29,9,178.529,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,13,25,41,Travis Pastrana,4024,Niece Motorsports,Chevrolet,Worldwide Express/BRCC,Mike Hillman Jr.,79,Running,0,0,0,0,5953,0,33,0,FALSE,28,25,177.403,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,14,20,17,Sammy Smith,4441,TRICON Garage,Toyota,Mobil 1,Billy Wilburn,79,Running,0,0,0,0,6360,0,34,0,FALSE,14,20,177.564,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,15,7,1,Jason White,3557,TRICON Garage,Toyota,Celsius,Seth Smith,79,Running,0,0,22,0,7223,0,15,0,FALSE,1,7,178.926,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,16,32,56,Timmy Hill,3984,Hill Motorsports,Toyota,Coble Enterprises,Terry Elmore,79,Running,0,0,21,0,7571,0,16,0,FALSE,35,32,175.63,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,17,10,4,Chase Purdy,4295,Kyle Busch Motorsports,Chevrolet,Bama Buggies,James Villeneuve,79,Running,1,1,29,0,7975,0,12,0,FALSE,5,10,0,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,18,11,20,Derek Kraus,4297,Young's Motorsports,Chevrolet,Hardscape Construction Inc.,Joe Lax,79,Running,0,0,19,0,8974,0,17,0,FALSE,16,11,178.352,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,19,34,22,Josh Reaume,4102,AM Racing,Ford,JAG Metals,Ryan London,79,Running,0,0,18,0,9712,0,18,0,FALSE,17,34,171.347,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,20,8,25,Matt DiBenedetto,3916,Rackley W.A.R.,Chevrolet,Rackley Roofing,Chad Kendrick,79,Running,0,0,25,0,10962,0,13,0,FALSE,20,8,178.579,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,21,36,34,Jason M. White,4292,Reaume Brothers Racing,Toyota, powder ventures excavations,Dan Stillman,79,Running,0,0,16,0,11856,0,19,0,FALSE,25,36,166.417,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,22,30,02,Kris Wright,4364,Young's Motorsports,Chevrolet,F.N.B. Corporation,Andrew Abbott,79,Running,0,0,15,0,12937,0,20,0,FALSE,2,30,175.874,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,23,5,7,Corey Lajoie,4096,Spire Motorsports,Chevrolet,Schluter Systems,Kevin Manion,79,Running,19,3,0,0,14146,0,35,0,FALSE,7,5,179.183,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,24,35,33,Mason Massey,4315,Reaume Brothers Racing,Ford,Brunt,Greg Rayl,79,Running,0,0,13,0,14661,0,22,0,FALSE,24,35,171.145,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,25,33,30,Chris Hacker,4408,On Point Motorsports,Toyota,Morgan & Morgan P.A. ,Carol Hines,79,Running,0,0,12,0,15156,0,23,0,FALSE,22,33,175.623,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,26,1,2,Nicholas Sanchez,4416,Rev Racing,Chevrolet,Gainbridge,Danny Stockman Jr,79,Running,0,1,24,0,17045,0,14,0,FALSE,3,1,181.899,superspeedway,2.5
5343,2023,NextEra Energy 250,Daytona International Speedway,2023-02-17T19:30:00,27,3,51,Jack Wood,4391,Kyle Busch Motorsports,Chevrolet,Eberlestock,Brian Pattie,79,Running,0,0,14,0,17970,0,21,0,FALSE,33,3,180.112,superspeedway,2.5
