race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5310,Beef. It's What's For Dinner. 300,120,125,4133,1,3,1,1,0,1,35,5.32,200,61,139,139,4,113,39,125,131.76
5310,Beef. It's What's For Dinner. 300,120,125,4092,7,8,2,6,4,1,29,7.62,172,6,166,151,2,118,8,125,110.78
5310,Beef. It's What's For Dinner. 300,120,125,34,5,1,3,3,0,1,32,4.94,157,36,121,113,3,111,36,125,124.41
5310,Beef. It's What's For Dinner. 300,120,125,4419,16,17,4,10,6,4,34,17.34,129,-7,136,53,3,52,0,125,78.48
5310,Beef. It's What's For Dinner. 300,120,125,4223,13,11,5,7,2,4,37,12.35,161,15,146,110,3,100,0,125,97.14
5310,Beef. It's What's For Dinner. 300,120,125,4269,9,7,6,12,6,1,24,9.21,186,-1,187,137,7,108,0,125,97.85
5310,Beef. It's What's For Dinner. 300,120,125,4313,29,26,7,13,6,6,35,21.27,93,-27,120,23,3,33,0,125,64.97
5310,Beef. It's What's For Dinner. 300,120,125,3884,22,12,8,8,0,2,35,14.23,203,31,172,91,3,76,0,125,84.47
5310,Beef. It's What's For Dinner. 300,120,125,4104,3,9,9,18,9,1,27,12.64,185,-8,193,117,2,81,1,125,86.26
5310,Beef. It's What's For Dinner. 300,120,125,4172,19,18,10,21,11,1,32,12.41,224,24,200,157,6,82,1,125,87.35
5310,Beef. It's What's For Dinner. 300,120,125,4018,20,10,11,19,8,3,33,14.45,258,49,209,139,6,73,0,125,90.11
5310,Beef. It's What's For Dinner. 300,120,125,4312,8,30,12,23,11,1,32,13.87,200,-15,215,144,0,76,0,125,72.83
5310,Beef. It's What's For Dinner. 300,120,125,4285,17,32,13,22,9,12,33,26.65,79,3,76,5,0,3,0,125,54.33
5310,Beef. It's What's For Dinner. 300,120,125,4085,11,4,14,5,-9,2,27,8.64,209,-4,213,146,4,106,0,125,95.53
5310,Beef. It's What's For Dinner. 300,120,125,4106,25,15,15,16,1,2,33,21.02,115,14,101,9,6,8,0,125,66.61
5310,Beef. It's What's For Dinner. 300,120,125,4370,34,13,16,17,1,8,34,18.26,161,-9,170,30,0,26,0,125,69
5310,Beef. It's What's For Dinner. 300,120,125,595,38,16,17,20,3,4,38,20.18,149,10,139,30,7,12,0,125,64.83
5310,Beef. It's What's For Dinner. 300,120,125,4004,36,23,18,25,7,10,36,26.27,65,-5,70,1,0,3,0,125,47.67
5310,Beef. It's What's For Dinner. 300,120,125,4441,15,33,19,27,8,4,37,23.06,138,24,114,71,4,38,0,125,70.03
5310,Beef. It's What's For Dinner. 300,120,125,4103,23,19,20,15,-5,1,35,19.97,124,0,124,13,2,23,1,125,64.47
5310,Beef. It's What's For Dinner. 300,120,125,4388,26,28,21,24,3,16,36,28.83,47,-25,72,0,2,0,0,125,41.1
5310,Beef. It's What's For Dinner. 300,120,125,3170,28,25,22,26,4,1,37,28.48,68,-27,95,3,0,3,2,125,41.76
5310,Beef. It's What's For Dinner. 300,120,125,3914,2,20,23,11,-12,1,32,13.73,149,-32,181,113,1,82,1,125,64.93
5310,Beef. It's What's For Dinner. 300,120,125,4301,10,31,24,9,-15,1,34,13.41,203,7,196,119,7,88,0,125,84
5310,Beef. It's What's For Dinner. 300,120,125,4346,12,14,25,14,-11,6,31,15.48,174,-16,190,89,5,71,0,125,80.4
5310,Beef. It's What's For Dinner. 300,120,125,4123,18,6,26,2,-24,1,27,7.82,188,19,169,139,1,107,17,125,95.18
5310,Beef. It's What's For Dinner. 300,120,125,4327,14,2,27,4,-23,1,33,7.58,191,25,166,124,0,111,14,124,91.56
5310,Beef. It's What's For Dinner. 300,120,125,3894,24,21,28,28,0,2,32,20.67,112,-42,154,31,0,26,0,124,52.67
5310,Beef. It's What's For Dinner. 300,120,125,4038,32,5,29,29,0,2,34,16.11,172,-23,195,129,0,68,0,124,67.33
5310,Beef. It's What's For Dinner. 300,120,125,4291,37,27,30,30,0,5,37,29.96,57,-10,67,2,1,2,0,110,34.07
5310,Beef. It's What's For Dinner. 300,120,125,4316,31,24,31,31,0,12,35,28.76,62,-12,74,1,0,4,0,87,43.5
5310,Beef. It's What's For Dinner. 300,120,125,4191,33,29,32,32,0,12,37,30.24,45,-33,78,4,2,2,0,82,37.85
5310,Beef. It's What's For Dinner. 300,120,125,4144,21,22,33,33,0,9,33,26.91,97,-17,114,8,1,6,0,81,49.01
5310,Beef. It's What's For Dinner. 300,120,125,4204,4,34,34,34,0,1,34,25.71,76,-2,78,68,0,38,5,41,62.54
5310,Beef. It's What's For Dinner. 300,120,125,4029,35,35,35,35,0,22,38,34.42,13,3,10,0,1,0,0,41,27.04
5310,Beef. It's What's For Dinner. 300,120,125,4093,6,36,36,36,0,2,25,31.74,66,-10,76,54,0,18,0,20,42.5
5310,Beef. It's What's For Dinner. 300,120,125,4376,27,37,37,37,0,9,27,34.11,52,4,48,24,0,7,0,19,36.17
5310,Beef. It's What's For Dinner. 300,120,125,4257,30,38,38,38,0,13,38,37.19,20,-12,32,0,0,0,0,8,24.83
5311,Production Alliance Group 300,150,150,4092,2,17,1,2,1,1,26,5.01,176,33,143,58,26,138,49,150,145.09
5311,Production Alliance Group 300,150,150,4327,22,11,2,7,5,2,35,12.88,314,23,291,76,8,100,0,150,98.33
5311,Production Alliance Group 300,150,150,34,3,8,3,1,-2,1,36,8.43,175,-7,182,55,13,126,8,150,117.8
5311,Production Alliance Group 300,150,150,4312,5,6,4,6,2,1,29,6.68,335,8,327,77,1,145,1,150,108.87
5311,Production Alliance Group 300,150,150,4123,19,1,5,5,0,1,35,9.58,133,14,119,82,1,123,3,150,106.2
5311,Production Alliance Group 300,150,150,4133,1,4,6,8,2,1,34,6,174,-8,182,56,6,146,4,150,115.54
5311,Production Alliance Group 300,150,150,4269,6,9,7,10,3,2,29,7.74,139,6,133,79,1,147,0,150,101.19
5311,Production Alliance Group 300,150,150,3873,15,7,8,3,-5,1,37,11.01,146,40,106,76,0,115,10,150,90.98
5311,Production Alliance Group 300,150,150,4038,25,16,9,11,2,4,33,13,245,8,237,85,0,118,0,150,84
5311,Production Alliance Group 300,150,150,3914,23,10,10,9,-1,4,35,11.52,157,23,134,92,2,132,0,150,92.04
5311,Production Alliance Group 300,150,150,4313,14,14,11,14,3,3,22,14.48,143,-3,146,65,0,84,0,150,79.17
5311,Production Alliance Group 300,150,150,4093,35,15,12,13,1,3,35,11.58,281,13,268,83,1,131,0,150,83.85
5311,Production Alliance Group 300,150,150,4191,29,12,13,12,-1,7,38,16.96,196,20,176,66,0,84,0,150,74.33
5311,Production Alliance Group 300,150,150,3884,16,18,14,15,1,2,33,15.06,337,26,311,70,0,96,0,150,75.83
5311,Production Alliance Group 300,150,150,4388,18,19,15,22,7,10,34,21.5,197,8,189,9,0,17,0,150,63.83
5311,Production Alliance Group 300,150,150,4106,9,26,16,18,2,9,36,21.32,180,-16,196,9,0,2,0,150,63.17
5311,Production Alliance Group 300,150,150,4301,17,23,17,17,0,8,34,20.3,178,-18,196,11,0,13,0,150,67.33
5311,Production Alliance Group 300,150,150,595,11,25,18,19,1,2,36,21.66,160,-37,197,13,0,14,0,150,62.17
5311,Production Alliance Group 300,150,150,4441,13,2,19,16,-3,1,25,8.48,119,16,103,78,11,126,14,150,100.92
5311,Production Alliance Group 300,150,150,4419,4,22,20,23,3,4,37,24.87,170,11,159,1,0,3,0,150,52
5311,Production Alliance Group 300,150,150,4422,20,36,21,24,3,12,37,28.03,315,-7,322,6,0,2,0,150,48.67
5311,Production Alliance Group 300,150,150,4018,7,27,22,20,-2,2,36,23.54,148,-18,166,16,0,11,0,150,55.5
5311,Production Alliance Group 300,150,150,4204,31,3,23,4,-19,1,36,10.37,307,25,282,89,0,119,15,150,79.02
5311,Production Alliance Group 300,150,150,4001,38,33,24,26,2,4,38,23.96,196,16,180,17,0,15,0,150,52.17
5311,Production Alliance Group 300,150,150,4144,30,32,25,25,0,13,35,25.66,187,-14,201,1,0,2,0,150,49.5
5311,Production Alliance Group 300,150,150,3894,26,28,26,21,-5,5,37,28.13,160,-24,184,7,0,3,0,150,41.83
5311,Production Alliance Group 300,150,150,4104,8,5,27,28,1,1,37,12.67,147,21,126,28,21,94,46,149,91.29
5311,Production Alliance Group 300,150,150,4225,28,20,28,32,4,12,36,24.82,146,-15,161,3,0,9,0,149,51.83
5311,Production Alliance Group 300,150,150,4004,34,31,29,29,0,19,37,30.2,141,-11,152,0,0,0,0,149,34
5311,Production Alliance Group 300,150,150,4257,36,30,30,27,-3,8,38,29.14,167,-28,195,1,0,3,0,149,34
5311,Production Alliance Group 300,150,150,4376,33,24,31,31,0,19,36,29.81,130,-34,164,0,0,0,0,149,33.17
5311,Production Alliance Group 300,150,150,3984,37,34,32,33,1,11,37,30.39,141,-6,147,6,0,4,0,149,35.5
5311,Production Alliance Group 300,150,150,4085,10,35,33,30,-3,2,37,26.67,153,6,147,24,2,34,0,149,57.55
5311,Production Alliance Group 300,150,150,4029,32,21,34,34,0,3,36,26.03,171,-12,183,9,0,10,0,149,41.33
5311,Production Alliance Group 300,150,150,3170,21,29,35,36,1,11,36,30.24,154,-9,163,6,0,3,0,148,34.33
5311,Production Alliance Group 300,150,150,4065,24,13,36,35,-1,5,37,21.96,127,-20,147,54,4,74,0,148,62.6
5311,Production Alliance Group 300,150,150,4316,27,37,37,37,0,5,38,34.52,61,-4,65,0,0,5,0,147,24.33
5311,Production Alliance Group 300,150,150,4103,12,38,38,38,0,9,38,36.61,27,-30,57,6,0,2,0,26,24.17
5312,Alsco Uniforms 300,200,200,4133,9,2,1,2,1,1,19,3.04,55,2,53,37,18,199,19,200,126.35
5312,Alsco Uniforms 300,200,200,34,2,13,2,3,1,1,26,5.17,69,-7,76,47,38,184,10,200,124.26
5312,Alsco Uniforms 300,200,200,4312,1,3,3,1,-2,1,24,2.37,54,-2,56,31,26,198,118,200,136.43
5312,Alsco Uniforms 300,200,200,454,11,1,4,4,0,1,28,5.91,76,20,56,34,9,186,4,200,111.62
5312,Alsco Uniforms 300,200,200,4123,5,7,5,6,1,1,27,9.56,73,16,57,53,4,173,2,200,97.09
5312,Alsco Uniforms 300,200,200,4092,7,16,6,8,2,1,25,7.37,65,26,39,35,31,175,45,200,113.6
5312,Alsco Uniforms 300,200,200,4327,13,6,7,5,-2,1,17,6.66,73,1,72,59,7,197,1,200,104.62
5312,Alsco Uniforms 300,200,200,4269,10,5,8,7,-1,2,18,6.91,75,-1,76,61,5,199,0,200,100.83
5312,Alsco Uniforms 300,200,200,4204,12,12,9,9,0,4,29,11.95,93,25,68,57,0,182,0,200,87.5
5312,Alsco Uniforms 300,200,200,4093,8,11,10,10,0,4,20,9.34,81,-11,92,68,1,199,0,200,89.6
5312,Alsco Uniforms 300,200,200,3914,6,14,11,12,1,5,38,13.46,89,18,71,57,1,178,0,200,83.27
5312,Alsco Uniforms 300,200,200,4104,3,8,12,11,-1,3,25,13.82,98,18,80,50,2,147,0,200,80.36
