race_id,Title,BestLapRank,Number,driver_id,FullName,Manufacturer,Sponsor,BestLapTime,OverAllAvg,OverAllAvgRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank
5310,Final Practice,4,1,4327,Sam Mayer,Chv,Accelerate Pros Talent,48.02,48.4331429,1,48.157,5,48.29,4,999,,999,,999,,999,
5310,Final Practice,3,7,34,Justin Allgaier,Chv,BRANDT,48.018,48.4883333,2,48.132,3,48.245,3,999,,999,,999,,999,
5310,Final Practice,2,9,4085,Brandon Jones,Chv,Menards/Swiffer,48.018,48.5514118,3,48.131,2,48.183,1,999,,999,,999,,999,
5310,Final Practice,5,8,4123,Josh Berry,Chv,Bass Pro Shops/TRACKER Boats,48.038,48.5896667,4,48.132,4,48.217,2,48.362,1,999,,999,,999,
5310,Final Practice,6,18,4441,Sammy Smith #,Tyt,TMC,48.238,48.6795,5,48.443,7,48.594,6,999,,999,,999,,999,
5310,Final Practice,7,20,4092,John Hunter Nemechek,Tyt,Mobil 1,48.285,48.6900769,6,48.43,6,48.613,7,999,,999,,999,,999,
5310,Final Practice,10,25,4038,Brett Moffitt,Frd,AM Technical Solutions,48.328,48.7615,7,48.479,9,48.631,8,999,,999,,999,,999,
5310,Final Practice,8,98,4269,Riley Herbst,Frd,Monster Energy,48.312,48.8501429,8,48.514,10,999,,999,,999,,999,,999,
5310,Final Practice,9,00,4104,Cole Custer,Frd,Haas Automation,48.319,48.9346875,9,48.467,8,48.662,9,999,,999,,999,,999,
5310,Final Practice,13,11,4093,Daniel Hemric,Chv,Cirkul,48.491,48.975125,10,48.663,11,48.855,12,999,,999,,999,,999,
5310,Final Practice,11,16,4312,Chandler Smith #,Chv,"Quick Tie Products, Inc.",48.464,49.1016,11,48.673,12,48.797,11,49.062,2,999,,999,,999,
5310,Final Practice,1,19,4223,Myatt Snider,Tyt,Tree Top,47.965,49.1217083,12,48.114,1,48.496,5,999,,999,,999,,999,
5310,Final Practice,12,10,4172,Justin Haley(i),Chv,DaaBIN Store,48.469,49.1445238,13,48.673,13,48.796,10,49.08,3,999,,999,,999,
5310,Final Practice,15,31,4419,Parker Retzlaff #,Chv,FUNKAWAY,48.794,49.1621111,14,48.893,14,999,,999,,999,,999,,999,
5310,Final Practice,24,07,4376,Blaine Perkins #,Chv,AUTOPARKit.com,49.117,49.1975,15,999,,999,,999,,999,,999,,999,
5310,Final Practice,17,27,4018,Jeb Burton,Chv,State Water Heaters,48.841,49.1978333,16,48.991,15,999,,999,,999,,999,,999,
5310,Final Practice,22,2,4204,Sheldon Creed,Chv,Whelen,49.026,49.2269,17,999,,999,,999,,999,,999,,999,
5310,Final Practice,18,34,4291,Jesse Iwuji,Chv,,48.887,49.2475,18,999,,999,,999,,999,,999,,999,
5310,Final Practice,25,48,3914,Parker Kligerman,Chv,Big Machine Racing Spiked,49.127,49.2822,19,999,,999,,999,,999,,999,,999,
5310,Final Practice,23,21,4133,Austin Hill,Chv,Bennett Transportation,49.074,49.2955,20,999,,999,,999,,999,,999,,999,
5310,Final Practice,16,45,4259,Caesar Bacarella,Chv,Clear Cryptos,48.839,49.374,21,999,,999,,999,,999,,999,,999,
5310,Final Practice,27,92,4106,Josh Williams,Chv,Alloy Employer/Call 811,49.227,49.4105,22,999,,999,,999,,999,,999,,999,
5310,Final Practice,29,08,4103,Gray Gaulding,Chv,Panini,49.248,49.4456667,23,999,,999,,999,,999,,999,,999,
5310,Final Practice,14,44,3894,Jeffrey Earnhardt,Chv,ForeverLawn,48.695,49.4505714,24,999,,999,,999,,999,,999,,999,
5310,Final Practice,19,02,3170,David Starr,Chv,Special Report with Bret Baier,48.887,49.475,25,999,,999,,999,,999,,999,,999,
5310,Final Practice,30,24,4370,Parker Chase,Tyt,Ontivity,49.257,49.5033333,26,999,,999,,999,,999,,999,,999,
5310,Final Practice,32,74,4320,Ryan Vargas(i),Chv,Leargas Security,49.409,49.569,27,999,,999,,999,,999,,999,,999,
5310,Final Practice,21,6,4144,Brennan Poole,Chv,Macc Door Systems,48.986,49.6305,28,999,,999,,999,,999,,999,,999,
5310,Final Practice,33,5,4346,Jade Buford,Chv,Double Spiked Coolers,49.448,49.641125,29,49.608,17,999,,999,,999,,999,,999,
5310,Final Practice,20,51,595,Jeremy Clements,Chv,One Stop/All South Electric,48.921,49.6761111,30,49.267,16,999,,999,,999,,999,,999,
5310,Final Practice,31,78,4301,Anthony Alfredo,Chv,Ticket Smarter,49.392,49.6835,31,999,,999,,999,,999,,999,,999,
5310,Final Practice,26,39,4313,Joe Graf Jr,Frd,Getcoverseal.com,49.179,49.7355714,32,999,,999,,999,,999,,999,,999,
5310,Final Practice,34,28,4388,Kyle Sieg,Frd,Night Owl,49.58,49.782,33,999,,999,,999,,999,,999,,999,
5310,Final Practice,28,38,3884,Ryan Sieg,Frd,CMRroofing.com,49.23,49.8205,34,999,,999,,999,,999,,999,,999,
5310,Final Practice,35,66,4042,Dexter Stacey,Chv,ReCap Recovery Drink,49.67,49.9281667,35,999,,999,,999,,999,,999,,999,
5310,Final Practice,39,36,4225,Alex Labbe,Chv,Larue/DuroKing,49.868,50.1345,36,999,,999,,999,,999,,999,,999,
5310,Final Practice,40,26,4191,Kaz Grala,Tyt,Island Coastal Lager,49.989,50.1468,37,999,,999,,999,,999,,999,,999,
5310,Final Practice,37,35,4316,CJ McLaughlin,Frd,Sci-Aps,49.83,50.1714286,38,49.998,18,999,,999,,999,,999,,999,
5310,Final Practice,42,99,4142,Garrett Smithley,Chv,Trophy Tractor,50.186,50.2585,39,999,,999,,999,,999,,999,,999,
5310,Final Practice,41,91,4213,Josh Bilicki(i),Chv,Zeigler/Insurance King,50.064,50.27325,40,999,,999,,999,,999,,999,,999,
5310,Final Practice,38,4,4257,Bayley Currey,Chv,Mikes Weather Page/Firman,49.859,50.3893333,41,999,,999,,999,,999,,999,,999,
5310,Final Practice,36,53,4004,Joey Gase,Frd,National Crime Prevention,49.821,50.4985556,42,999,,999,,999,,999,,999,,999,
5310,Final Practice,43,13,3984,Timmy Hill(i),Tyt,Klutch Vodka,50.841,50.9546667,43,999,,999,,999,,999,,999,,999,
5312,Final Practice,12,10,454,Kyle Busch(i),Chv,LA Golf,30.547,30.7226667,1,999,,999,,999,,999,,999,,999,
5312,Final Practice,3,00,4104,Cole Custer,Frd,Haas Automation,30.298,30.8615333,2,999,,999,,999,,999,,999,,999,
5312,Final Practice,1,11,4093,Daniel Hemric,Chv,South Point Hotel and Casino,30.216,30.919375,3,30.541,2,999,,999,,999,,999,,999,
5312,Final Practice,7,98,4269,Riley Herbst,Frd,Monster Energy,30.418,30.95,4,30.468,1,31.128,5,999,,999,,999,,999,
5312,Final Practice,4,48,3914,Parker Kligerman,Chv,Big Machine Racing Spiked,30.315,30.9753684,5,30.572,4,999,,999,,999,,999,,999,
5312,Final Practice,16,21,4133,Austin Hill,Chv,Global Industrial,30.665,31.0215,6,30.756,9,31.126,4,999,,999,,999,,999,
5312,Final Practice,9,39,3884,Ryan Sieg,Frd,CMRroofing.com,30.465,31.0236667,7,30.774,10,999,,999,,999,,999,,999,
5312,Final Practice,17,8,4123,Josh Berry,Chv,Bass Pro Shops/TRACKER Boats,30.717,31.03605,8,30.783,11,31.144,6,999,,999,,999,,999,
5312,Final Practice,5,20,4092,John Hunter Nemechek,Tyt,Mobil 1,30.405,31.053125,9,30.556,3,31.018,2,31.125,2,999,,999,,999,
5312,Final Practice,10,24,4065,Tyler Reddick(i),Tyt,GearWrench,30.499,31.09325,10,30.954,15,999,,999,,999,,999,,999,
5312,Final Practice,8,7,34,Justin Allgaier,Chv,BRANDT,30.453,31.1236429,11,30.817,13,30.961,1,31.064,1,31.186,1,999,,999,
5312,Final Practice,6,16,4312,Chandler Smith #,Chv,Quick Tie Products Inc.,30.405,31.1325714,12,30.655,6,31.023,3,31.151,3,31.252,2,999,,999,
5312,Final Practice,13,2,4204,Sheldon Creed,Chv,Whelen,30.579,31.142625,13,30.684,7,31.5,11,999,,999,,999,,999,
5312,Final Practice,11,25,4038,Brett Moffitt,Frd,AM Technical Solutions,30.513,31.1768125,14,30.806,12,999,,999,,999,,999,,999,
5312,Final Practice,2,9,4085,Brandon Jones,Chv,Menards/Jeld-Wen Windows,30.251,31.2116818,15,30.615,5,31.568,12,999,,999,,999,,999,
5312,Final Practice,14,1,4327,Sam Mayer,Chv,Accelerate Pros Talent,30.583,31.21185,16,30.723,8,31.303,8,999,,999,,999,,999,
5312,Final Practice,15,18,4441,Sammy Smith #,Tyt,Pilot Flying J,30.585,31.2264815,17,30.881,14,31.147,7,999,,999,,999,,999,
5312,Final Practice,21,31,4419,Parker Retzlaff #,Chv,FUNKAWAY,30.904,31.3025263,18,31.135,19,999,,999,,999,,999,,999,
5312,Final Practice,24,27,4018,Jeb Burton,Chv,Alsco Uniforms,30.99,31.3229231,19,31.237,20,999,,999,,999,,999,,999,
5312,Final Practice,27,02,4187,Kyle Weatherman,Chv,Our Motorsports,31.107,31.4458462,20,31.445,22,999,,999,,999,,999,,999,
5312,Final Practice,19,26,4191,Kaz Grala,Tyt,Fire Department Coffee,30.866,31.4697667,21,31.055,16,31.352,9,31.398,4,31.475,3,999,,999,
5312,Final Practice,25,78,4301,Anthony Alfredo,Chv,Dude Wipes,31.078,31.4744375,22,31.653,25,999,,999,,999,,999,,999,
5312,Final Practice,29,28,4225,Alex Labbe,Frd,G Coin/Larue,31.173,31.4852,23,999,,999,,999,,999,,999,,999,
5312,Final Practice,23,51,595,Jeremy Clements,Chv,First Pacific Funding,30.969,31.56275,24,999,,999,,999,,999,,999,,999,
5312,Final Practice,20,38,4388,Kyle Sieg,Frd,TopPool.com,30.892,31.5781429,25,31.117,18,999,,999,,999,,999,,999,
5312,Final Practice,35,08,4103,Gray Gaulding,Frd,Panini NFT,31.562,31.612,26,999,,999,,999,,999,,999,,999,
5312,Final Practice,26,53,4316,CJ McLaughlin,Chv,Sci Aps,31.092,31.6158333,27,31.555,23,999,,999,,999,,999,,999,
5312,Final Practice,22,19,4313,Joe Graf Jr.,Tyt,CoverSeal,30.966,31.62925,28,31.105,17,31.495,10,999,,999,,999,,999,
5312,Final Practice,32,4,4257,Bayley Currey,Chv,KSDT CPA,31.411,31.646,29,999,,999,,999,,999,,999,,999,
5312,Final Practice,18,45,4422,Rajah Caruth(i),Chv,Wendell Scott Foundation/Microsoft,30.793,31.6858421,30,31.375,21,31.585,13,999,,999,,999,,999,
5312,Final Practice,28,91,4213,Josh Bilicki(i),Chv,JAG Metals LLC,31.129,31.7041176,31,31.57,24,999,,999,,999,,999,,999,
5312,Final Practice,30,92,4106,Josh Williams,Chv,Call 811/Alloy Employer,31.288,31.7214167,32,31.978,28,999,,999,,999,,999,,999,
5312,Final Practice,37,6,4144,Brennan Poole,Chv,Macc Door Systems,31.589,31.7908571,33,999,,999,,999,,999,,999,,999,
5312,Final Practice,40,99,4142,Garrett Smithley,Chv,PCARx,31.674,31.83,34,999,,999,,999,,999,,999,,999,
5312,Final Practice,34,66,4432,Mason Maggio(i),Frd,HMY Yachts,31.487,31.8823077,35,31.797,27,999,,999,,999,,999,,999,
5312,Final Practice,31,07,4376,Blaine Perkins #,Chv,AUTOPARKit.com,31.302,31.9059,36,999,,999,,999,,999,,999,,999,
5312,Final Practice,39,74,4320,Ryan Vargas,Chv,Lerner & Rowe Injury Lawyers,31.66,31.93375,37,999,,999,,999,,999,,999,,999,
