race_id,race_season,race_name,track_name,race_date,finishing_position,starting_position,car_number,driver_fullname,driver_id,team_name,car_make,sponsor,crew_chief_fullname,laps_completed,finishing_status,laps_led,times_led,points_earned,diff_laps,diff_time,playoff_points_earned,points_position,points_delta,disqualified,qualifying_order,qualifying_position,qualifying_speed,track_type,track_length
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,42,42,13,Timmy Hill,3984,Motorsports Business Management,Toyota,Klutch Vodka,Rambo Liberati,0,,0,0,0,0,0,0,42,0,FALSE,15,42,176.744,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,39,39,66,Dexter Stacey,4042,Motorsports Business Management,Chevrolet,ReCap Recovery Drink,Jason Houghtaling,0,,0,0,0,0,0,0,39,0,FALSE,38,39,178.639,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,41,41,99,Garrett Smithley,4142,B.J. McLeod Motorsports,Chevrolet,Trophy Tractor,Lee Leslie,0,,0,0,0,0,0,0,41,0,FALSE,44,41,177.648,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,40,40,91,Josh Bilicki,4213,DGM Racing,Chevrolet,Zeigler/Insurance King,Mario Gosselin,0,,0,0,0,0,0,0,40,0,FALSE,41,40,178.317,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,43,43,36,Alex Labbe,4225,DGM Racing,Chevrolet,Larue / DuroKing,Nathan Kennedy,0,,0,0,0,0,0,0,43,0,FALSE,29,43,0,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,44,44,74,Ryan Vargas,4320,MHR w/Gary Keller,Chevrolet,Leargas Security ,Ryan Bell,0,,0,0,0,0,0,0,44,0,FALSE,39,44,0,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,1,1,21,Austin Hill,4133,Richard Childress Racing,Chevrolet,Bennett Transportation,Andy Street,125,Running,39,4,58,0,0,6,1,0,FALSE,20,1,182.563,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,2,7,20,John H. Nemechek,4092,Joe Gibbs Racing,Toyota,Mobil 1,Ben Beshore,125,Running,8,4,40,0,376,0,3,0,FALSE,19,7,181.664,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,3,5,7,Justin Allgaier,34,JR Motorsports,Chevrolet,BRANDT,James Pohlman,125,Running,36,7,52,0,377,1,2,0,FALSE,9,5,182.208,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,4,16,31,Parker Retzlaff,4419,Jordan Anderson Racing,Chevrolet,FUNKAWAY,Joshua Graham,125,Running,0,0,33,0,377,0,6,0,FALSE,26,16,180.883,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,5,13,19,Myatt Snider,4223,Joe Gibbs Racing,Toyota,Tree Top,Jason Ratcliff,125,Running,0,0,33,0,378,0,7,0,FALSE,18,13,181.152,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,6,9,98,Riley Herbst,4269,Stewart-Haas Racing,Ford,Monster Energy,Richard Boswell II,125,Running,0,0,35,0,645,0,4,0,FALSE,43,9,181.254,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,7,29,39,Joe Graf Jr,4313,RSS Racing,Ford,Getcoverseal.com,Steve Addington,125,Running,0,0,30,0,758,0,9,0,FALSE,31,29,179.179,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,8,22,38,Ryan Sieg,3884,RSS Racing,Ford,CMRroofing.com,Michael Scearce,125,Running,0,0,29,0,1318,0,12,0,FALSE,30,22,180.011,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,9,3,00,Cole Custer,4104,Stewart-Haas Racing,Ford,Haas Automation,Jonathan Toney,125,Running,1,1,30,0,1599,0,10,0,FALSE,1,3,182.319,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,10,19,10,Justin Haley,4172,Kaulig Racing,Chevrolet,DaaBIN Store,Alex Yontz,125,Running,1,1,0,0,1600,0,38,0,FALSE,13,19,180.661,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,11,20,27,Jeb Burton,4018,Jordan Anderson Racing,Chevrolet,State Water Heaters,Shane Whitbeck,125,Running,0,0,33,0,1789,0,8,0,FALSE,24,20,180.502,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,12,8,16,Chandler Smith,4312,Kaulig Racing,Chevrolet,"Quick Tie Products, Inc.",Bruce Schlicker,125,Running,0,0,34,0,2168,0,5,0,FALSE,16,8,181.598,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,13,17,45,Stefan Parsons,4285,Alpha Prime Racing,Chevrolet,Clear Cryptos,Frank Kerr,125,Running,0,0,24,0,2410,0,13,0,FALSE,34,17,180.875,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,14,11,9,Brandon Jones,4085,JR Motorsports,Chevrolet,Menards/Swiffer,Jason Burdett,125,Running,0,0,30,0,2411,0,11,0,FALSE,12,11,181.291,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,15,25,92,Josh Williams,4106,DGM Racing,Chevrolet,Alloy Employer / Call 811,Bryan Berry,125,Running,0,0,22,0,2992,0,14,0,FALSE,42,25,179.297,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,16,34,24,Parker Chase,4370,Sam Hunt Racing,Toyota,Ontivity,Kris Bowen,125,Running,0,0,21,0,4493,0,15,0,FALSE,21,34,178.525,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,17,38,51,Jeremy Clements,595,Jeremy Clements Racing,Chevrolet,One Stop / All South Electric,Mark Setzer,125,Running,0,0,20,0,9708,0,16,0,FALSE,36,38,178.61,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,18,36,53,Joey Gase,4004,Emerling Gase Motorsports,Ford,National Crime Prevention,Rick Bourgeois,125,Running,0,0,19,0,9709,0,18,0,FALSE,37,36,176.06,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,19,15,18,Sammy Smith,4441,Joe Gibbs Racing,Toyota,TMC,Jeff Meendering,125,Running,0,0,18,0,9710,0,20,0,FALSE,17,15,181.046,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,20,23,08,Gray Gaulding,4103,SS GreenLight Racing,Chevrolet,PANINI,Jason Miller,125,Running,1,1,17,0,11914,0,21,0,FALSE,10,23,179.716,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,21,26,28,Kyle Sieg,4388,RSS Racing,Ford,Night Owl,Brad Parrott,125,Running,0,0,16,0,0,0,23,0,FALSE,25,26,179.29,superspeedway,2.5
