race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5310,1,1,21,4133,Austin Hill,10
5310,1,2,16,4312,Chandler Smith #,9
5310,1,3,7,34,Justin Allgaier,8
5310,1,4,10,4172,Justin Haley(i),0
5310,1,5,27,4018,Jeb Burton,6
5310,1,6,2,4204,Sheldon Creed,5
5310,1,7,8,4123,Josh Berry,4
5310,1,8,48,3914,Parker Kligerman,3
5310,1,9,20,4092,John Hunter Nemechek,2
5310,1,10,19,4223,Myatt Snider,1
5310,1,11,1,4327,Sam Mayer,0
5310,1,12,9,4085,Brandon Jones,0
5310,1,13,18,4441,Sammy Smith #,0
5310,1,14,24,4370,Parker Chase,0
5310,1,15,98,4269,Riley Herbst,0
5310,1,16,44,3894,Jeffrey Earnhardt,0
5310,1,17,51,595,Jeremy Clements,0
5310,1,18,92,4106,Josh Williams,0
5310,1,19,78,4301,Anthony Alfredo,0
5310,1,20,39,4313,Joe Graf Jr,0
5310,1,21,08,4103,Gray Gaulding,0
5310,1,22,38,3884,Ryan Sieg,0
5310,1,23,00,4104,Cole Custer,0
5310,1,24,31,4419,Parker Retzlaff #,0
5310,1,25,5,4346,Jade Buford,0
5310,1,26,25,4038,Brett Moffitt,0
5310,1,27,6,4144,Brennan Poole,0
5310,1,28,53,4004,Joey Gase,0
5310,1,29,35,4316,CJ McLaughlin,0
5310,1,30,45,4285,Stefan Parsons,0
5310,1,31,43,4029,Ryan Ellis,0
5310,1,32,34,4291,Jesse Iwuji,0
5310,1,33,28,4388,Kyle Sieg,0
5310,1,34,26,4191,Kaz Grala,0
5310,1,35,02,3170,David Starr,0
5310,1,36,11,4093,Daniel Hemric,0
5310,1,37,07,4376,Blaine Perkins #,0
5310,1,38,4,4257,Bayley Currey,0
5310,2,1,7,34,Justin Allgaier,10
5310,2,2,1,4327,Sam Mayer,9
5310,2,3,21,4133,Austin Hill,8
5310,2,4,9,4085,Brandon Jones,7
5310,2,5,25,4038,Brett Moffitt,6
5310,2,6,8,4123,Josh Berry,5
5310,2,7,98,4269,Riley Herbst,4
5310,2,8,20,4092,John Hunter Nemechek,3
5310,2,9,00,4104,Cole Custer,2
5310,2,10,27,4018,Jeb Burton,1
5310,2,11,18,4441,Sammy Smith #,0
5310,2,12,78,4301,Anthony Alfredo,0
5310,2,13,19,4223,Myatt Snider,0
5310,2,14,38,3884,Ryan Sieg,0
5310,2,15,24,4370,Parker Chase,0
5310,2,16,5,4346,Jade Buford,0
5310,2,17,92,4106,Josh Williams,0
5310,2,18,51,595,Jeremy Clements,0
5310,2,19,31,4419,Parker Retzlaff #,0
5310,2,20,10,4172,Justin Haley(i),0
5310,2,21,08,4103,Gray Gaulding,0
5310,2,22,48,3914,Parker Kligerman,0
5310,2,23,6,4144,Brennan Poole,0
5310,2,24,44,3894,Jeffrey Earnhardt,0
5310,2,25,53,4004,Joey Gase,0
5310,2,26,35,4316,CJ McLaughlin,0
5310,2,27,39,4313,Joe Graf Jr,0
5310,2,28,02,3170,David Starr,0
5310,2,29,34,4291,Jesse Iwuji,0
5310,2,30,26,4191,Kaz Grala,0
5310,2,31,28,4388,Kyle Sieg,0
5310,2,32,16,4312,Chandler Smith #,0
5310,2,33,45,4285,Stefan Parsons,0
5310,2,34,2,4204,Sheldon Creed,0
5310,2,35,43,4029,Ryan Ellis,0
5310,2,36,11,4093,Daniel Hemric,0
5310,2,37,07,4376,Blaine Perkins #,0
5310,2,38,4,4257,Bayley Currey,0
5311,1,1,00,4104,Cole Custer,10
5311,1,2,21,4133,Austin Hill,9
5311,1,3,16,4312,Chandler Smith #,8
5311,1,4,11,4093,Daniel Hemric,7
5311,1,5,98,4269,Riley Herbst,6
5311,1,6,2,4204,Sheldon Creed,5
5311,1,7,25,4038,Brett Moffitt,4
5311,1,8,10,3873,Austin Dillon(i),0
5311,1,9,20,4092,John Hunter Nemechek,2
5311,1,10,48,3914,Parker Kligerman,1
5311,1,11,39,3884,Ryan Sieg,0
5311,1,12,26,4191,Kaz Grala,0
5311,1,13,8,4123,Josh Berry,0
5311,1,14,18,4441,Sammy Smith #,0
5311,1,15,19,4313,Joe Graf Jr.,0
5311,1,16,91,4001,Ross Chastain(i),0
5311,1,17,9,4085,Brandon Jones,0
5311,1,18,38,4388,Kyle Sieg,0
5311,1,19,31,4419,Parker Retzlaff #,0
5311,1,20,7,34,Justin Allgaier,0
5311,1,21,28,4225,Alex Labbe,0
5311,1,22,43,4029,Ryan Ellis,0
5311,1,23,27,4018,Jeb Burton,0
5311,1,24,35,4004,Joey Gase,0
5311,1,25,02,3170,David Starr,0
5311,1,26,24,4065,Tyler Reddick(i),0
5311,1,27,78,4301,Anthony Alfredo,0
5311,1,28,6,4144,Brennan Poole,0
5311,1,29,44,3894,Jeffrey Earnhardt,0
5311,1,30,07,4376,Blaine Perkins #,0
5311,1,31,45,4422,Rajah Caruth(i),0
5311,1,32,51,595,Jeremy Clements,0
5311,1,33,53,4316,CJ McLaughlin,0
5311,1,34,1,4327,Sam Mayer,0
5311,1,35,66,3984,Timmy Hill(i),0
5311,1,36,92,4106,Josh Williams,0
5311,1,37,4,4257,Bayley Currey,0
5311,1,38,08,4103,Gray Gaulding,0
5311,2,1,00,4104,Cole Custer,10
5311,2,2,20,4092,John Hunter Nemechek,9
5311,2,3,18,4441,Sammy Smith #,8
5311,2,4,10,3873,Austin Dillon(i),0
5311,2,5,48,3914,Parker Kligerman,6
5311,2,6,7,34,Justin Allgaier,5
5311,2,7,1,4327,Sam Mayer,4
5311,2,8,2,4204,Sheldon Creed,3
5311,2,9,98,4269,Riley Herbst,2
5311,2,10,16,4312,Chandler Smith #,1
5311,2,11,39,3884,Ryan Sieg,0
5311,2,12,26,4191,Kaz Grala,0
5311,2,13,21,4133,Austin Hill,0
5311,2,14,24,4065,Tyler Reddick(i),0
5311,2,15,25,4038,Brett Moffitt,0
